Abstract Interactions of iron (Fe) with the nitrogen (N) cycle have emerged and contain elements of abiotic and biological reactions. One such abiotic reaction which has received little study is the reactivity of NO2 − and Fe(II) associated with a major clay mineral, kaolinite. The main objective of this study was to evaluate the reactivity of NO2 − with Fe(II) added to kaolinite under anoxic conditions. Stirred batch reactivity experiments were carried out with 10 g L−1 kaolinite spiked with 25 and 100 µM Fe(II) at pH 6.45 in an anaerobic chamber. Approximately 500 µM NO2 − was added to initiate the reaction with Fe(II)-loaded kaolinite. The rate of nitrite removal from solution was 2.4-fold slower in the high Fe(II) treatment when compared with the low Fe(II) treatment. A large portion of the NO2 − removed from solution was confirmed to be reduced to N2O(g) in the Fe(II)-kaolinite slurries. However, NO2 − reduction was also noticed in the presence of kaolinite-alone and to somewhat lesser extent in the presence of dithionite-citrate-bicarbonate (DCB)-treated kaolinite. Chemical extractions coupled with infrared spectroscopy suggest that Fe(III) oxide mineral impurities and structural Fe(III) in kaolinite may participate in NO2 − removal from solution. Furthermore, a magnetite mineral was identified based on X-ray diffraction analysis of untreated kaolinite and DCB-treated kaolinite. Our findings reveal a novel pathway of NO2 − transformation in the environment in the presence of Fe(II) associated (sorbed and impurity) with kaolinite.
Fe                  0.9999991901234904^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

reactivity                    0.9858746158059477^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Reactivity_(chemistry)

Fe(II)                        0.9999997904165177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

reactivity                    0.9858746158059477^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Reactivity_(chemistry)

abiotic                       0.9999999928329544^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Abiotic_component     

X-ray diffraction analysis    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_crystallography 

sorbed                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sorption              

nitrogen                      0.9999999998969997^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nitrogen              

Fe(II)                        0.9999997904165177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

NO2                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrite               

anoxic conditions             0.9999997451421093^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anoxic_waters         

clay mineral                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Clay_minerals         

kaolinite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaolinite             

anaerobic                     0.9803101115160346^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hypoxia_(environmental)

NO2                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrite               

chamber                       0.9848426851492861^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rocket_engine         

NO2                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrite               

kaolinite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaolinite             

infrared spectroscopy         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Infrared_spectroscopy 

nitrite                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrite               

oxide mineral                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Oxide                 

NO2                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrite               

mineral                       0.9999999999979536^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mineral               

Fe(III)                       0.9999999916849447^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

kaolinite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaolinite             

abiotic                       0.9999999928329544^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Abiotic_component     

Fe(II)                        0.9999997904165177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

kaolinite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaolinite             

kaolinite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaolinite             

Fe(II)                        0.9999997904165177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

pH                            0.9999999952162852^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

Fe(II)                        0.9999997904165177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

NO2                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrite               

N2O                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrous_oxide         

fold                          0.9990941842238004^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Protein_folding       

kaolinite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaolinite             

iron                          0.9999993449141457^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

kaolinite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaolinite             

Fe(II)                        0.9999997904165177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

Fe(II)                        0.9999997904165177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

DCB                           0.9773003953926256^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Order_of_the_Bath     

kaolinite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaolinite             

Fe(II)                        0.9999997904165177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

kaolinite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaolinite             

NO2                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrite               

kaolinite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaolinite             

slurries                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Slurry                

magnetite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Magnetite             

reactivity                    0.9858746158059477^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Reactivity_(chemistry)

NO2                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrite               

Fe(III)                       0.9999999916849447^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Iron                  

