Abstract The objective of this study was to prepare ketoprofen-loaded emulsions. The emulsions were formulated by mixing soybean oil, surfactants (a mixture of Tween 20 and Tween 80), and distilled water. To determine the most suitable composition for the emulsions, a phase diagram was drawn, representing a mixture of soybean oil, surfactants, and distilled water. From the phase diagram, one-phase formulations were selected and the particle sizes of the formulations were compared. The stability of each formulation was confirmed over 4 weeks at 4 °C, by looking for any change in particle size. The effect of dilution on the pH of emulsion formulations was recorded. A soybean oil concentration of 5 �as sufficient to obtain emulsions. The surfactants used were a mixture of Tween 20 and Tween 80 in a 1:2 ratio, to ensure high ketoprofen solubility. Three formulations, termed E1, E2, and E3, produced emulsions with relatively small particles. The ketoprofen-loaded E1 formulation resulted in the smallest particles. The three formulations were physically stable for 4 weeks with no significant change in particle size. Dilution with distilled water did not alter the pH of the three emulsion formulations, but did change the conductivity. In conclusion, ketoprofen was solubilized by the emulsion formulation, and then remained stable when maintained at 4 °C; additionally, while the pH was unaltered, the conductivity of the formulation was changed by dilution with distilled water.
particle            0.9859466729138552^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particle              

E1                            0.95997561385792^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/EMC_E1                

phase diagram                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phase_diagram         

particles                     0.9994522933497199^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

ketoprofen                    0.9999999999786269^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ketoprofen            

distilled water               0.999984364337049^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Distilled_water       

emulsions                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Emulsion              

pH                            0.9999997541882824^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

Tween 20                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polysorbate_20        

phase diagram                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phase_diagram         

soybean oil                   0.9981265820116811^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soybean_oil           

Tween 80                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polysorbate_80        

solubilized                   0.9999874390463127^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Solubilization        

solubility                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Solubility            

E3                            0.9999511824339113^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Euclidean_space       

emulsions                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Emulsion              

emulsion                      0.9999999999948841^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Emulsion              

E1                            0.95997561385792^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/EMC_E1                

emulsions                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Emulsion              

particles                     0.9994522933497199^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

distilled water               0.999984364337049^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Distilled_water       

ketoprofen                    0.9999999999786269^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ketoprofen            

soybean oil                   0.9981265820116811^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soybean_oil           

distilled water               0.999984364337049^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Distilled_water       

pH                            0.9999997541882824^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

surfactants                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Surfactant            

surfactants                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Surfactant            

Tween 20                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polysorbate_20        

concentration                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Concentration         

particle size                 0.6335704209223154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particulates          

Tween 80                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polysorbate_80        

distilled water               0.999984364337049^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Distilled_water       

emulsion                      0.9999999999948841^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Emulsion              

E2                            0.9999996453025862^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Elimination_reaction  

emulsions                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Emulsion              

emulsion                      0.9999999999948841^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Emulsion              

surfactants                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Surfactant            

particle size                 0.6335704209223154^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particulates          

stable                        0.9999772997449957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_stability    

emulsions                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Emulsion              

pH                            0.9999997541882824^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/PH                    

soybean oil                   0.9981265820116811^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Soybean_oil           

stable                        0.9999772997449957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_stability    

