Abstract The objective of this study was to explore the effects of liquefying honey by ultrasound in five honeys with different botanical source. The ultrasound treatments were at a frequency of 42 kHz for 5, 10 and 15 min. The effects on crystal size, 5-hydroxymethylfurfural (HMF), colour, phenolic acids, flavonoids and antioxidant activity 2,2′-azino-bis(3-ethylbenzothiazoline-6-sulphonic acid) (ABTS) and 1,1-diphenyl-2-picrylhydrazyl (DPPH) were investigated. The analysis of the honeys showed significant differences (p < 0.05) in all parameters. The honeys had similar but quantitatively different phenolic acid and flavonoid contents. The honeys that underwent ultrasound treatments exhibited significant differences (p < 0.05) in crystal size, colour and antioxidant activity (DPPH) but not in HMF (p > 0.05). The effect of ultrasound treatment on phenolic acids, flavonoids and antioxidant activity (ABTS) was different for each type of honey. Some honeys showed significant increases (p < 0.05) in phenolic acids, flavonoids and antioxidant activity after 15 min of ultrasound treatment. The ultrasound is an alternative to thermal treatment of the honey decrystallization without changing the HMF, and some honeys exhibit increased antioxidant activity.
frequency           0.9999586708610764^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Frequency             

phenolic acids                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenolic_acid         

honey                         0.9999999990061497^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Honey                 

honey                         0.9999999990061497^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Honey                 

HMF                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydroxymethylfurfural 

antioxidant                   0.9999999999955662^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antioxidant           

botanical                     0.9512066152913958^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Botany                

phenolic acids                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenolic_acid         

ultrasound                    0.999954694139978^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ultrasound            

ultrasound                    0.999954694139978^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ultrasound            

ABTS                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/ABTS                  

acid                          0.997572407451717^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Acid                  

ABTS                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/ABTS                  

The honeys                    0.999997481832098^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/The_Honeys            

flavonoids                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Flavonoid             

flavonoids                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Flavonoid             

phenolic acid                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenolic_acid         

flavonoids                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Flavonoid             

ultrasound                    0.999954694139978^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ultrasound            

antioxidant                   0.9999999999955662^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antioxidant           

flavonoid                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Flavonoid             

HMF                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydroxymethylfurfural 

phenolic acids                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenolic_acid         

HMF                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydroxymethylfurfural 

kHz                           0.9562995004143078^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hertz                 

hydroxymethylfurfural         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydroxymethylfurfural 

1,1-diphenyl-2-picrylhydrazyl 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/DPPH                  

antioxidant                   0.9999999999955662^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antioxidant           

ultrasound                    0.999954694139978^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ultrasound            

ultrasound                    0.999954694139978^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ultrasound            

thermal treatment             0.9999999999964757^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Thermal_treatment     

antioxidant                   0.9999999999955662^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antioxidant           

ultrasound                    0.999954694139978^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ultrasound            

The honeys                    0.999997481832098^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/The_Honeys            

honey                         0.9999999990061497^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Honey                 

DPPH                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/DPPH                  

DPPH                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/DPPH                  

antioxidant                   0.9999999999955662^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antioxidant           

