Abstract  Purpose: To investigate the effect of diclofenac, a potent nonsteroidal anti-inflammatory drug, formulated in hyaluronan (diclofenac/HA) on angiogenesis in vitro and its intraocular toxicity in vivo. Methods: The effect of diclofenac/HA on angiogenesis was determined by choriocapillary endothelial cells on Matrigel stimulated by vascular endothelial growth factor (VEGF). The tube areas were quantified by image digital analysis. For toxicity study, diclofenac/HA was injected intravitreally with a dose range from 100 to 1080 µg in 26 rabbits following gas compression vitrectomy. Potential toxicity was assessed by indirect ophthalmoscopy and by histological studies (light and electron microscopy). Retinal function was monitored by electroretinography (ERG) in six rabbits that received 400 µg of diclofenac/HA. Results: Diclofenac/HA, 180, 90 µg/ml, inhibited tube formation to 24�nd 55�f the standard group (Media Ham’s F12 plus 5�etal calf serum and 50 ng/ml VEGF) respectively (P<0.01). Intravitreal injection of 540 µg or higher doses of diclofenac/HA resulted in ocular toxicity in the rabbit, demonstrated as cataract, vitreous haze and retinal damage observed by indirect ophthalmoscopy and light- and electron- microscopic examinations. No toxicity was observed in the eyes that received 400 µg or less diclofenac/HA, which was further supported by the normal ERG examined at 4 and 25 days post injection. Conclusions: Diclofenac/HA inhibits tube formation in vitro and is nontoxic to the rabbit retina at concentrations that are inhibitory to tube formation. Our results suggest diclofenac/HA may be an effective candidate to inhibit ocular neovascularisation related to granulomatous reaction in the eye.
granulomatous       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Granuloma             

rabbits                       0.9999999999095053^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

electron microscopy           0.9994115323729069^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron_microscope   

digital                       0.9899609571710992^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_signal        

Diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

µg                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microgram             

retina                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retina                

rabbit                        0.9999999999572537^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

µg                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microgram             

serum                         0.7553400678653582^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Serum_(blood)         

haze                          0.9999862534097134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Haze                  

rabbits                       0.9999999999095053^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

µg                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microgram             

histological                  0.9999999961960384^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Histology             

vitreous                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vitreous_humour       

retinal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retina                

ERG                           0.999741860014158^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ergative_case         

Ham                           0.6535244091392468^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ham,_London           

µg                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microgram             

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

vascular endothelial growth factor1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vascular_endothelial_growth_factor

etal                          0.7463485645050485^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Etal                  

standard group                0.9999542251716391^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Standard_Group        

Matrigel                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Matrigel              

µg                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microgram             

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

diclofenac                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diclofenac            

angiogenesis                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Angiogenesis          

VEGF                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vascular_endothelial_growth_factor

