Summary Theoretical molecular geometries of the perylene derivatives 3,4,9,10-perylene tetracarboxylic dianhydride (PTCDA), 3,4,9,10-perylene tetracarboxylic diimide (PTCDI), N,N′-dimethyl 3,4,9,10-perylene tetracarboxylic diimide (MePTCDI), and 3,4,9,10-perylene tetracarboxylic disulfide (PTCDS) are presented for the electronic statesS 0 andS 1. On this basis, the electronic absorption properties can be interpreted and compared with experimentel data. The vibronic structure ofS 0 →S 1 absorption andS 1 →S 0 fluorescence has been reproduced. The analysis of the active vibrational modes shows a corresponding behaviour of derivatives and perylene.
vibrational modes   0.9999931527703667^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecular_vibration   

fluorescence                  0.9999999971379339^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluorescence          

perylene                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perylene              

perylene                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perylene              

dimethyl                      0.7420743084350225^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dimethyl_disulfide    

disulfide                     0.9999951096556494^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Disulfide             

diimide                       0.9999999996338147^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diazene               

perylene                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perylene              

perylene                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perylene              

perylene                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perylene              

diimide                       0.9999999996338147^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diazene               

S 1                           0.8542245479538534^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/S1_(Rhine-Ruhr_S-Bahn)

perylene                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perylene              

