Abstract   A combination of gas phase molecular dynamics and systematic conformational searches with semiempirical MO-theory has been used to identify and characterise the low energy conformations of tetracycline in its neutral non-polar and zwitterionic forms and as the deprotonated zwitteranion. The conformations found have been characterised by cluster- and principal components analyses as belonging to three main groups. These are very similar for the nonpolar and zwitterionic neutral forms of tetracycline, but very different for the anion. The likely consequences of the conformational flexibilty for metal ion complexation by tetracycline are discussed.
tetracycline        0.9599977457514229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tetracycline          

zwitterionic                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Zwitterion            

metal                         0.9999989518421253^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Metal                 

zwitterionic                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Zwitterion            

molecular dynamics            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_dynamics    

anion                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

principal components          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Principal_component_analysis

nonpolar                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chemical_polarity     

deprotonated                  0.991288649749112^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Deprotonation         

tetracycline                  0.9599977457514229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tetracycline          

energy                        0.999993645189944^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Energy                

tetracycline                  0.9599977457514229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tetracycline          

semiempirical                 0.9999999047951792^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Computational_chemistry

