Abstract Ionizing radiation to DNA induces sometimes the DNA damage. In this report, the ionization dynamics of uracil dimer (U)2 and its water complex (U)2–H2O have been investigated by means of direct ab initio molecular dynamics (AIMD) method in order to elucidate the effects of single water molecule on the reaction rate of proton transfer (PT) in DNA model base pair. The (U)2 dimer is widely used as a simplified mimetic model of Watson–Crick base pair. The static ab initio calculation showed that two conformers exist as neutral complex of (U)2–H2O. The direct AIMD calculation of ionization process of (U)2–H2O showed that the rate of PT is affected even by a single water molecule, while it was dependent on the position of H2O around (U)2. The interaction of water molecule with (U)2 affected the potential energy curve for PT. Especially, the activation barrier along the PT coordinate was significantly changed by the interaction with one H2O molecule. The effects of one H2O molecule on the PT process were discussed on the basis of theoretical results.
proton              0.9996241868752792^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Proton                

potential energy curve        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Potential_energy_surface

activation barrier            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Activation_energy     

water                         0.9992252415902794^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Properties_of_water   

single                        0.9997741512628191^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Single_bond           

molecule                      0.9999999999820375^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

molecule                      0.9999999999820375^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

molecule                      0.9999999999820375^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

H2O                           0.9976933712073579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Properties_of_water   

ionization                    0.9875725596585514^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ion                   

PT                            0.9999934590066653^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Prothrombin_time      

molecule                      0.9999999999820375^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

PT                            0.9999934590066653^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Prothrombin_time      

water                         0.9992252415902794^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Properties_of_water   

water                         0.9992252415902794^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Properties_of_water   

water                         0.9992252415902794^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Properties_of_water   

PT                            0.9999934590066653^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Prothrombin_time      

H2O                           0.9976933712073579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Properties_of_water   

reaction rate                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Reaction_rate         

H2O                           0.9976933712073579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Properties_of_water   

uracil                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Uracil                

ab initio                     0.9947205977647596^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ab_initio_quantum_chemistry_methods

molecular dynamics            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_dynamics    

H2O                           0.9976933712073579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Properties_of_water   

dimer                         0.9998550426734528^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dimer_(chemistry)     

dynamics                      0.9989856471554405^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dynamics_(mechanics)  

H2O                           0.9976933712073579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Properties_of_water   

AIMD                          0.9999999862105825^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Additive_increase/multiplicative_decrease

ab initio                     0.9947205977647596^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ab_initio_quantum_chemistry_methods

AIMD                          0.9999999862105825^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Additive_increase/multiplicative_decrease

molecule                      0.9999999999820375^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

conformers                    0.999999884549204^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Conformational_isomerism

single                        0.9997741512628191^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Single_bond           

PT                            0.9999934590066653^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Prothrombin_time      

DNA                           0.9999999999911324^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/DNA                   

base pair                     0.9206633916344924^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Base_pair             

ionization                    0.9875725596585514^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ion                   

DNA                           0.9999999999911324^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/DNA                   

dimer                         0.9998550426734528^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dimer_(chemistry)     

base pair                     0.9206633916344924^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Base_pair             

