Abstract. Watermarking schemes embed information imperceptibly in digital objects and are proposed as primitives in various copyright protection applications, such as proofs of authorship, dispute resolving protocols or fingerprinting. In many applications, the presence of watermarks must be provable to any possibly dishonest party. Traditionally, watermark detection requires knowledge of sensitive information like the watermark or the embedding key. This is a major security risk, since this information is in most cases sufficient to remove the watermark and to defeat the goal of copyright protection. Zero-knowledge watermark detection is a promising approach to overcome security issues during the process of watermark detection: cryptographic techniques are used to prove that a watermark is detectable in certain data, without jeopardizing the watermark. This paper presents a formal definition of zero-knowledge watermark detection, discusses zero-knowledge watermark detection protocols and compares their properties.
cryptographic       0.8891013978271786^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cryptography          

embedding                     0.9995128583476856^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Embedding             

watermark                     0.9994071163413529^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_watermarking  

watermark                     0.9994071163413529^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_watermarking  

zero-knowledge                0.7897635960298625^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/zero_knowledge        

copyright                     0.9999711082864743^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Copyright             

protocols                     0.9997409939666179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cryptographic_protocol

watermark                     0.9994071163413529^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_watermarking  

party                         0.9999633173970568^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Party_(law)           

copyright                     0.9999711082864743^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Copyright             

fingerprinting                0.9089448929011682^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fingerprint           

watermark                     0.9994071163413529^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_watermarking  

zero-knowledge                0.7897635960298625^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/zero_knowledge        

watermarks                    0.9999792433528539^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_watermarking  

watermark                     0.9994071163413529^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_watermarking  

watermark                     0.9994071163413529^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_watermarking  

protocols                     0.9997409939666179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cryptographic_protocol

primitives                    0.9352554426980199^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cryptographic_primitive

watermark                     0.9994071163413529^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_watermarking  

digital objects               0.9999999994847713^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_object        

Watermarking                  0.9999995115983948^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_watermarking  

watermark                     0.9994071163413529^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_watermarking  

watermark                     0.9994071163413529^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_watermarking  

