Abstract The Cerro Bitiche Andesitic Field (CBAF) is one of the two largest mafic volcanic fields in northern Puna (22–24° S) and is spatially and temporally associated with ignimbrites erupted from some central Andean Altiplano-Puna Volcanic Complex calderas. The CBAF comprises seven scoria cones and widespread high-K calcalkaline lava flows that cover an area of 200 km2. Although all erupted rocks have a relatively narrow chemical range (56–62 �iO2, 3–6 �gO), there is a broad diversity of mineral compositions and textures. The least evolved lavas (∼58–61 �iO2) are high-Mg andesites with scarce (<10 �microphenocrysts of either olivine or orthopyroxene. The small compositional range and low phenocryst content indicate evolution controlled by low percentages (<10 �of fractional crystallization of olivine and clinopyroxene of magmas similar to the least evolved rocks from the field, accompanied by assimilation during rapid ascent through the crust. Evolved andesites (∼62 wt�iO2), on the other hand, are porphyritic rocks with plagioclase   orthopyroxene   biotite and ubiquitous phenocryst disequilibrium textures. These magmas were likely stored in crustal reservoirs, where they experienced convection caused by mafic magma underplating, magma mixing, and/or assimilation. Trace element and mineral compositions of CBAF lavas provide evidence for complex evolution of distinct magma batches.
magmas              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Magma                 

CBAF                          0.999999899144546^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/CBAF-FM               

volcanic fields               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Volcanic_field        

calderas                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Caldera               

phenocryst                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenocryst            

textures                      0.9995196304146337^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Texture_(geology)     

disequilibrium                0.996162748164562^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Thermodynamic_equilibrium

orthopyroxene                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pyroxene              

evolution                     0.9999890156453438^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

mafic                         0.9999999995181952^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mafic                 

plagioclase                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Plagioclase           

high-K                        0.9998254468135725^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/High-k_dielectric     

mafic                         0.9999999995181952^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mafic                 

fractional crystallization    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fractional_crystallization_(geology)

andesites                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Andesite              

iO2                           0.9117427422409243^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Foundation_for_Research,_Science_and_Technology

cones                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Volcanic_cone         

chemical                      0.9966989995678672^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_substance    

olivine                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Olivine               

evolution                     0.9999890156453438^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

andesites                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Andesite              

clinopyroxene                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pyroxene              

magma                         0.9999999999222382^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magma                 

CBAF                          0.999999899144546^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/CBAF-FM               

magmas                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Magma                 

lavas                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lava                  

CBAF                          0.999999899144546^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/CBAF-FM               

iO2                           0.9117427422409243^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Foundation_for_Research,_Science_and_Technology

assimilation                  0.9463465160420059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cultural_assimilation 

crustal                       0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crust_(geology)       

textures                      0.9995196304146337^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Texture_(geology)     

iO2                           0.9117427422409243^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Foundation_for_Research,_Science_and_Technology

underplating                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Underplating          

lavas                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lava                  

phenocryst                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenocryst            

lava flows                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lava                  

ignimbrites                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ignimbrite            

reservoirs                    0.9745217788565093^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lake                  

porphyritic                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Porphyritic           

magma                         0.9999999999222382^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magma                 

Andesitic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Andesite              

convection                    0.9999994226342853^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mantle_convection     

orthopyroxene                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pyroxene              

mineral                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mineral               

biotite                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Biotite               

Andean                        0.9999910353671395^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Andes                 

Puna                          0.9999998801406563^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Altiplano             

assimilation                  0.9463465160420059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cultural_assimilation 

mineral                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mineral               

magma                         0.9999999999222382^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magma                 

crust                         0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crust_(geology)       

olivine                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Olivine               

