Abstract  · Background:Perfluorocarbon liquids are useful intraoperative tools in complicated vitreoretinal surgery. They are usually removed at the end of the procedure, but small amounts may remain in the eye. Recently, contradictory results have been reported on the damage in association with residual perfluorocarbon liquids in the eye. This study examined the effects of perfluorodecalin on human retinal pigment epithelium and corneal endothelium in vitro. · Methods:Vitality and proliferative capacity of cell cultures were measured after incubation with perfluorodecalin. Vitality of cell cultures were measured using the Life-Dead assay. Cell proliferation was determined by measuring incorporation of 5-bromo-2’-deoxyuridine into cellular DNA. Furthermore, endothelium of organ-cultured human corneas was examined after incubation with perfluorodecalin by photodocumentation. · Results:Both cell types showed less extinctions in the Life-Dead assay after incubation with perfluorodecalin. After removing perfluorodecalin from the cultures, cells showed the same capacity of proliferation as the control cells. Compared to control corneas, perfluorodecalin induced a decrease in endothelial cell density. In four corneas, endothelial cell necrosis was observed. · Conclusion:Decreasing extinctions in the Life-Dead assay after incubation with perfluorodecalin can be interpreted as showing a decreasing amount of vital cells. Because cell proliferation showed no significant changes the results suggest that perfluorodecalin may not be directly toxic to cells in vitro. It may exert an indirect or mechanical effect on cell function by impeding the normal metabolic exchange between endothelium and medium. Based on these results perfluorodecalin should be completely removed after operation.
corneas             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

perfluorodecalin              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perfluorodecalin      

necrosis                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Necrosis              

incubation                    0.9066527662261549^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Incubation_period     

perfluorodecalin              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perfluorodecalin      

incubation                    0.9066527662261549^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Incubation_period     

incubation                    0.9066527662261549^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Incubation_period     

cells                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cell_(biology)        

corneas                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

assay                         0.999930811885906^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Assay                 

cells                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cell_(biology)        

assay                         0.999930811885906^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Assay                 

Perfluorocarbon               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fluorocarbon          

cells                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cell_(biology)        

DNA                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/DNA                   

bromo                         0.9999999983009502^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bromine               

perfluorodecalin              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perfluorodecalin      

perfluorodecalin              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perfluorodecalin      

corneas                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

perfluorodecalin              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perfluorodecalin      

perfluorodecalin              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perfluorodecalin      

endothelial cell              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

perfluorocarbon               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fluorocarbon          

perfluorodecalin              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perfluorodecalin      

perfluorodecalin              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perfluorodecalin      

assay                         0.999930811885906^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Assay                 

endothelium                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

cell proliferation            0.9999933206136365^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_growth           

corneal endothelium           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corneal_endothelium   

retinal pigment epithelium    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retinal_pigment_epithelium

cell cultures                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cell_culture          

cells                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cell_(biology)        

incubation                    0.9066527662261549^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Incubation_period     

cell cultures                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cell_culture          

2'-deoxyuridine               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/2'-deoxyuridine       

perfluorodecalin              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Perfluorodecalin      

endothelial cell              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

endothelium                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

