Abstract Mufulira underground mine has been facing great geotechnical challenges due to crown pillars left after mining which act similar to stress windows and these bring about high stress build up in the footwall drifts. A numerical analysis was performed with the objective to investigate how a change in mining method would affect the high stress levels. The numerical analysis was achieved using the software Flac 3D based on data corrected at the mine. One of the major aims of the analysis was to determine the change in mining height and its implications. Results from the numerical analysis showed that altering the mining technique would decrease the stress levels in the footwall.
Mufulira            0.9999999993908091^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mufulira              

3D                            0.6142574336297247^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Three-dimensional_space

mining                        0.999844920337653^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Mining                

crown                         0.9273323533619172^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Crown_(headgear)      

mining                        0.999844920337653^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Mining                

mining                        0.999844920337653^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Mining                

software                      0.9864501162443219^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Software              

mining                        0.999844920337653^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Mining                

numerical analysis            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Numerical_analysis    

stress                        0.8957679150397774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shear_stress          

stress                        0.8957679150397774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shear_stress          

footwall                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fault_(geology)       

numerical analysis            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Numerical_analysis    

stress                        0.8957679150397774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shear_stress          

numerical analysis            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Numerical_analysis    

footwall                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fault_(geology)       

stress                        0.8957679150397774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shear_stress          

Flac                          0.9999999998609042^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/FLAC                  

geotechnical                  0.9999999981717451^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Geotechnical_engineering

