Abstract Within 2 months, two water sources in a karst area in Switzerland were sampled 9 times each, and analyzed by real-time PCR for 6 EHEC O-types, Shiga-like-toxin (stx1 and stx2) and intimin (eae) genes. With the exception of O111, 5 O-types were recorded regularly and at high frequencies (O26: 33.3 �O157: 33.3 �O104: 66.6 �O103: 72.2 �O145: 94.4 � Genes for Shiga-like-toxins and intimin were almost omnipresent (stx1: 77.8 �stx2: 83.3 �eae: 77.8 � Strain isolation was undertaken for O-groups 26, 103, 104, 145 and 157. Sample selection for strain isolation was based on Cq-values for the O-groups and stx1, stx2 and eae. From selected samples, frozen enrichment cultures were cultivated on EHLY-agar and 50 typical colonies screened for the O-type and genes encoding for stx1, stx2 and eae. With this approach, only one virulent EHEC-strain could be isolated (Escherichia coli O103, stx1  ; stx2 −; eae  ). We carried out one extensive testing with 800 colonies of O-group O145, and no virulent strain was isolated. Our findings showed that PCR-results are not sufficient to formulate epidemiological conclusions and that the isolation of strains is necessary. However, as the detection procedure of EHEC in foods is cumbersome and expensive, the appropriateness of such an approach in official food control is a matter of debate.
samples             0.7365484333510021^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sampling_(statistics) 

EHEC                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Verotoxin-producing_Escherichia_coli

colonies                      0.9995393903934081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Colony_(biology)      

virulent                      0.8481684164949369^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Virulence             

strain                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Strain_(biology)      

stx2                          0.9999999194542429^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/STX2                  

intimin                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Intimin               

intimin                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Intimin               

O26                           0.9999999998744897^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/O26_(text_editor)     

strains                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Strain_(biology)      

eae                           0.9999999954520717^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Experimental_autoimmune_encephalomyelitis

stx2                          0.9999999194542429^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/STX2                  

Escherichia coli              0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Escherichia_coli      

karst                         0.9999999999990905^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Karst                 

PCR                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polymerase_chain_reaction

genes                         0.9999957530582521^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gene                  

stx2                          0.9999999194542429^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/STX2                  

sampled                       0.8371629361349431^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sampling_(statistics) 

strain                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Strain_(biology)      

stx2                          0.9999999194542429^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/STX2                  

omnipresent                   0.9999999957717591^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Omnipresence          

O-type                        0.9998793601855781^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ABO_blood_group_system

genes                         0.9999957530582521^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gene                  

encoding                      0.9984152280075732^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Genetic_code          

EHEC                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Verotoxin-producing_Escherichia_coli

eae                           0.9999999954520717^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Experimental_autoimmune_encephalomyelitis

virulent                      0.8481684164949369^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Virulence             

colonies                      0.9995393903934081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Colony_(biology)      

Switzerland                   0.9999853156996726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Switzerland           

eae                           0.9999999954520717^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Experimental_autoimmune_encephalomyelitis

epidemiological               0.9999996006229936^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Epidemiology          

eae                           0.9999999954520717^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Experimental_autoimmune_encephalomyelitis

stx2                          0.9999999194542429^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/STX2                  

frequencies                   0.998418563591659^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Frequency             

eae                           0.9999999954520717^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Experimental_autoimmune_encephalomyelitis

water                         0.9973567702134419^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

