Abstract The overall fall-back angle α50 of thin uniaxial ferromagnetic films was calculated including the effect of the magnetization ripple and the skew. Both, ripple and skew angle were assumed to show a Gaussian distribution with different standard deviations. Ripple and skew are superimposed in a nonlinear manner to give the fall-back angle of the entire film. By direct measurements of the ripple fall-back angle, α500, for very small spots of the film, of the fall-back angle, α50, of the entire film, and of the distribution and standard deviation of the skew, the calculation could be tested, which gave good agreement between experiment and theory. As long as the skew is unknown the fall-back angle alone is not the best measure for the “quality” of an uniaxial film.
nonlinear           0.9999632343419813^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nonlinear_system      

standard deviation            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Standard_deviation    

angle                         0.9993299299726306^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Angle                 

ripple                        0.6240603290823007^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ripple_(electrical)   

angle                         0.9993299299726306^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Angle                 

angle                         0.9993299299726306^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Angle                 

ripple                        0.6240603290823007^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ripple_(electrical)   

angle                         0.9993299299726306^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Angle                 

uniaxial                      0.9999999999994884^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Index_ellipsoid       

uniaxial                      0.9999999999994884^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Index_ellipsoid       

film                          0.5787493285022386^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Film                  

standard deviations           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Standard_deviation    

ripple                        0.6240603290823007^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ripple_(electrical)   

magnetization                 0.9998647878379394^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetization         

Gaussian distribution         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Normal_distribution   

ferromagnetic                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ferromagnetism        

angle                         0.9993299299726306^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Angle                 

angle                         0.9993299299726306^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Angle                 

film                          0.5787493285022386^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Film                  

film                          0.5787493285022386^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Film                  

film                          0.5787493285022386^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Film                  

