Abstract We report the results of our calculation of γ(r), the radially dependent antishielding factor of Sc3  ion in the crytalline environment. Watson sphere model is used to approximately represent the crystal potential. Differential equations resulting from non-orthogonal Hartree-Fock perturbation theory are solved to obtain perturbations to core electron states. Contribution to γ(r) from electron self-consistency effect has been evaluated by using the latter wave-functions in the many-body expression of Schmidtet al.
Hartree-Fock        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hartree–Fock_method   

wave-functions                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wave_function         

perturbations                 0.6035928137832257^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Perturbation_theory_(quantum_mechanics)

ion                           0.9999999874311812^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ion                   

core electron                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Core_electron         

perturbation theory           0.8545519344472191^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Perturbation_theory_(quantum_mechanics)

expression                    0.8748921989927015^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Expression_(mathematics)

Sc3                           0.9967369844828247^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/SuperCollider         

Differential equations        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Differential_equation 

sphere                        0.9999733286613436^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sphere                

many-body                     0.9995566584230273^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Many-body_problem     

electron                      0.9999949373740518^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron              

