Abstract Ground state energies of atomic three-body systems like negatively charged hydrogen, normal helium, positively charged-lithium, beryllium, carbon, oxygen, neon and negatively charged exotic- muonium and positronium atoms have been calculated adopting hyperspherical harmonics expansion method. Calculation of matrix elements of two body interactions needed in the hyperspherical harmonics expansion method for a three body system is greatly simplified by expanding the bra- and ket-vector states in the hyperspherical harmonics (HH) basis states appropriate for the partition corresponding to the interacting pair. This involves the Raynal–Revai coefficients (RRC), which are the transformation coefficients between the HH bases corresponding to the two partitions. Use of RRC become particularly essential for the numerical solution of three-body Schrődinger equation where the two-body potentials are other than Coulomb or harmonic. However in the present work the technique is used for two electron atoms 1H−(p + e − e −), D−(d + e − e −), Mu−(μ + e − e −),4He(4 He 2+ e − e −),6Li(6 Li 3+ e − e −),10Be(10 Be 4+ e − e −),12C(12 C 6+ e − e −),16O(16 O 8+ e − e −) etc. and the exotic positronium negative ion Ps −(e + e − e −) where the interactions are purely Coulomb. The relative convergence in ground state binding energy with increasing K max for 20Ne has been demonstrated as a representative case. The calculated energies at K max  = 28 using RRC’s have been compared with those obtained by a straight forward manner in some representative cases to demonstrate the appropriateness of the use of RRC. The extrapolated energies have also been compared with those found in the literature. The calculated binding energies agree within the computational error.
convergence         0.9972184430668671^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Limit_of_a_sequence   

partitions                    0.9229387583563146^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Partition_of_a_set    

literature                    0.9991652492701572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Literature            

6Li                           0.9999999919541551^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lithium               

two-body                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Two-body_problem      

positronium                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Positronium           

neon                          0.9999999999636202^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Neon                  

carbon                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon                

binding energies              0.9999998231935635^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Binding_energy        

numerical solution            0.9999999728156584^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Numerical_analysis    

bra                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bra–ket_notation      

Mu                            0.9999967123621374^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mu_(letter)           

harmonics                     0.8122122106522225^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Harmonic              

4He                           0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Helium                

helium                        0.9999999999990905^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Helium                

oxygen                        0.9999999988538093^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oxygen                

16O                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Isotopes_of_oxygen    

three-body                    0.9998581432100531^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Three-body_problem    

Coulomb                       0.9999950575883569^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coulomb's_law         

Coulomb                       0.9999950575883569^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coulomb's_law         

hydrogen                      0.8858134942143103^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydrogen              

coefficients                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Coefficient           

hyperspherical                0.6536673728954606^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shape_of_the_Universe 

RRC                           0.9999999663693876^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Royal_Red_Cross       

beryllium                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Beryllium             

matrix                        0.9999999426104312^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Matrix_(mathematics)  

positronium                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Positronium           

HH                            0.7803009237956139^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pope                  

12C                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon-12             

three-body                    0.9998581432100531^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Three-body_problem    

partition                     0.9828104868019779^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Partition_of_a_set    

hyperspherical                0.6536673728954606^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shape_of_the_Universe 

harmonic                      0.9999981360234961^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Harmonic_oscillator   

10Be                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Beryllium             

Li                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lithium               

hyperspherical                0.6536673728954606^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shape_of_the_Universe 

4+                            0.7101686323142609^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Racing_shell          

harmonics                     0.8122122106522225^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Harmonic              

O 8                           0.9999999998008207^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/HMS_H6                

binding energy                0.9990536568044687^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Binding_energy        

RRC                           0.9999999663693876^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Royal_Red_Cross       

coefficients                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Coefficient           

RRC                           0.9999999663693876^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Royal_Red_Cross       

harmonics                     0.8122122106522225^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Harmonic              

HH                            0.7803009237956139^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pope                  

RRC                           0.9999999663693876^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Royal_Red_Cross       

muonium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Muonium               

negative ion                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

electron                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron              

