Abstract An eventual theory of auroral arcs must explain the source(s) of their distinct yet variable spatial structure, the electron acceleration within them, and the enhanced energy flux they carry. This paper reviews ideal, inertial, and stationary Alfvén waves, emphasizing physical descriptions of their properties, and comments on their potential roles in explaining key properties of auroral arcs. Particular attention is given to the recent theory of inertial stationary Alfvén waves, which can produce steady-state electron acceleration within multiple parallel sheets, reminiscent of the conditions necessary for the production of multiple auroral arcs.
energy flux         0.999999997968871^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Flux                  

acceleration                  0.9999999999151328^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acceleration          

auroral                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aurora_(astronomy)    

Alfvén waves                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Alfvén_wave           

acceleration                  0.9999999999151328^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acceleration          

electron                      0.9999999999326974^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron              

auroral                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aurora_(astronomy)    

inertial                      0.8794798779356535^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inertial_frame_of_reference

inertial                      0.8794798779356535^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inertial_frame_of_reference

steady-state                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Steady_state          

Alfvén waves                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Alfvén_wave           

electron                      0.9999999999326974^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron              

auroral                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aurora_(astronomy)    

