Abstract This work involved the design of a new series of triarylaminehelicenes (TAH) with significant hole transport capacity and enhanced nonlinear optical response. The geometries, electronic properties and nonlinear response of TAH derivatives were studied using density functional theory at the B3PW91/6-311  G (2d, 2p) level. Charge transfer and nonlinear optical response were analyzed and correlated with modifications in geometry and energy levels. Calculations indicated that trivial changes in the torsional angle occur in TAH derivatives with electron-donating substituents as compared to those with electron-withdrawing substituents, resulting in lower reorganization energies for TAH derivatives 2–6. TAH derivatives with an –N(CH3)2 group have the greatest highest occupied molecular orbital (HOMO) level, and thus the least ionization potential, indicating significant hole transfer efficiency as compared to unsubstituted TAH. A decrease in the HOMO–LUMO gap occurs upon substitution with electron-releasing groups, whereas there is an increase in the case of –NO2, –COOH, and –CN TAH derivatives. Topological analysis of the HOMOs of the neutral molecules revealed that these orbitals are concentrated mainly in the helicene backbone, with an important contribution from fused phenyl rings, nitrogen atoms and carbonyl groups. However, the lowest unoccupied molecular orbitals (LUMO) are invariably constituted by fused phenyl rings without any contribution from the central nitrogen atom. Studying the effect of substitution on the nonlinear optical response of TAH derivatives, the calculated polarizability and hyperpolarizability at B3PW91/6-311  G (2d,2p) level of theory exhibited a prominent improvement as compared to unsubstituted TAH. Both electron-donating groups and electron-withdrawing groups result in a red shift in the electronic absorption bands of the substitution derivatives, in particular those with –N(CH3)2 and –NH2 groups. Graphical abstractSchematic representation of an Organic Light Emitting Device (OLED) having TAH as hole transport layer
geometry            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_geometry    

electronic                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electron              

torsional angle               0.9999500938747853^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dihedral_angle        

electron-withdrawing groups   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polar_effect          

orbitals                      0.9570088901245818^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecular_orbital     

electron-withdrawing substituents1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polar_effect          

CN                            0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cyanide               

carbonyl groups               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbonyl              

polarizability                0.9999997520067462^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Polarizability        

NO2                           0.9999361908239617^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nitro_compound        

nitrogen                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

highest occupied molecular orbital1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/HOMO/LUMO             

derivatives                   0.7637064875596383^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Derivative_(chemistry)

nitrogen                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrogen              

red shift                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Redshift              

HOMO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/HOMO/LUMO             

transport layer               0.9997377875599975^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/OSI_model             

rings                         0.9998869741871829^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ring_(mathematics)    

electron-donating groups      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polar_effect          

energy levels                 0.999999997685336^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Energy_level          

CH3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methyl_group          

absorption bands              0.8294779226448877^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Absorption_(electromagnetic_radiation)

derivatives                   0.7637064875596383^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Derivative_(chemistry)

electron-donating substituents1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polar_effect          

transport                     0.9910700240716134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Active_transport      

