Abstract  Various kinds of precipitates can influence the mechanical properties of Ti-stabilized steels. The qualitative composition of the Ti inclusions can be characterized microscopically, whereas for quantitative information to be obtained time-consuming selective dissolution must be used. The present study aims at chemical speciation of the isolated precipitates as a solid phase with the help of soft-X-ray spectrometry. Whether the method is capable of giving both qualitative and quantitative information on the composition of Ti-mixtures is discussed. The precipitates in Ti-stabilized steels are investigated after chemical dissolution of the steel matrix with a bromine/methanol mixture (1:10). By combination of soft-X-ray spectrometry with X-ray fluorescence (XRF) and scanning electron microscopy (SEM) both qualitative and quantitative characterization of the precipitates can be performed. They were found to consist mainly of TiC and TiN.
precipitates        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Precipitation_(chemistry)

precipitates                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Precipitation_(chemistry)

chemical                      0.9996847730236771^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_compound     

inclusions                    0.9616507340635578^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inclusion_body        

X-ray fluorescence            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_fluorescence    

chemical                      0.9996847730236771^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_compound     

quantitative                  0.9784108605826158^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantitative_analysis_(chemistry)

dissolution                   0.9999522167635297^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Solvation             

dissolution                   0.9999522167635297^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Solvation             

scanning electron microscopy  0.9999962561057198^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Scanning_electron_microscope

TiN                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Titanium_nitride      

steels                        0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Steel                 

matrix                        0.8731006987413238^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Matrix_(chemical_analysis)

spectrometry                  0.9999936440289815^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mass_spectrometry     

SEM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scanning_electron_microscope

precipitates                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Precipitation_(chemistry)

precipitates                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Precipitation_(chemistry)

qualitative                   0.9999999993674464^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Analytical_chemistry  

microscopically               0.9999993264370909^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microscopy            

qualitative                   0.9999999993674464^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Analytical_chemistry  

quantitative                  0.9784108605826158^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantitative_analysis_(chemistry)

methanol                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methanol              

speciation                    0.9999999596185497^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Speciation            

steels                        0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Steel                 

spectrometry                  0.9999936440289815^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mass_spectrometry     

quantitative                  0.9784108605826158^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantitative_analysis_(chemistry)

qualitative                   0.9999999993674464^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Analytical_chemistry  

bromine                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bromine               

steel                         0.9991928852569448^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Steel                 

XRF                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_fluorescence    

TiC                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Titanium_carbide      

