Abstract This study demonstrates that in contrast to prior research findings on short-term stock returns, long-term stock returns are positively correlated with inflation. In addition, within the context of a more complete explanatory model, long-term stock returns are found to be negatively related to changes in long-term interest rates and negatively related to beginning price to earnings ratios. The significance of these variables in explaining almost all the time series variation in long-term stock returns demonstrates that changes in stock values are well explained by theory.
variables           0.6095106362153311^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Variable_(mathematics)

stock                         0.8059387946261075^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stock                 

interest rates                0.9999011731709875^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interest_rate         

stock                         0.8059387946261075^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stock                 

inflation                     0.9999362997102514^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inflation             

time series                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_series           

stock                         0.8059387946261075^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stock                 

stock                         0.8059387946261075^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stock                 

stock                         0.8059387946261075^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stock                 

