Abstract.  Traditionally, the nonequilibrium statistical mechanics is focussed on situations locally close to equilibrium (Green-Kubo formula, Onsager reciprocity relations) or to return to equilibrium (Boltzmann). In these lecture we will be concerned with nonequilibrium statistical mechanics far from equilibrium. After a brief survey of the classical case, we will focus our attention to the quantum case. For quantum systems with an infinite number of occupied degrees of freedom, that is, systems consisting of an infinite number of particles, in an infinite volume and with finite density (thermodynamics) the ordinary quantum-mechanics description has to be modified. This lead us to work in an algebraic framework well suited for the investigation of such systems. We will discuss the basic ideas of algebraic approach: observables, time evolution, local perturbation, cyclic representation, Liouvillean, and particularly nonequilibrium steady states.
equilibrium         0.9999999999889724^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Thermodynamic_equilibrium

classical                     0.8371332227193421^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Classical_mechanics   

quantum                       0.9708045147835717^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantum_mechanics     

equilibrium                   0.9999999999889724^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Thermodynamic_equilibrium

infinite                      0.9988894778112725^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Infinity              

infinite                      0.9988894778112725^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Infinity              

statistical mechanics         0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Statistical_mechanics 

thermodynamics                0.9779525561784294^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Second_law_of_thermodynamics

statistical mechanics         0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Statistical_mechanics 

perturbation                  0.9995722455923881^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Perturbation_theory   

reciprocity                   0.559616235844755^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Reciprocity_(social_and_political_philosophy)

Onsager                       0.9999938055366056^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lars_Onsager          

infinite                      0.9988894778112725^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Infinity              

algebraic                     0.9993409650458407^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Abstract_algebra      

nonequilibrium                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Thermodynamic_equilibrium

algebraic                     0.9993409650458407^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Abstract_algebra      

finite                        0.804400112055988^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Finite_group          

quantum systems               0.9999518456774795^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantum_mechanics     

observables                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Observable            

particles                     0.9115076708918601^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particle              

Boltzmann                     0.9999783800180672^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Boltzmann_equation    

cyclic                        0.9999999977146672^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cyclic_group          

density                       0.65465217666215^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Density               

equilibrium                   0.9999999999889724^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Thermodynamic_equilibrium

time evolution                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Time_evolution        

