Abstract A graph is equitably k-colorable if G has a proper vertex k-coloring such that the sizes of any two color classes differ by at most one. Chen, Lih and Wu conjectured that any connected graph G with maximum degree $$\Delta $$ Δ distinct from the odd cycle, the complete graph $$K_{\Delta  1}$$ KΔ 1 and the complete bipartite graph $$K_{\Delta ,\Delta }$$ KΔ,Δ are equitably m-colorable for every $$m\ge \Delta $$ m≥Δ . Let $${\mathcal {G}}_k$$ Gk be the class of graphs G such that $$e(G')\le k (v(G')-2)$$ e(G′)≤k(v(G′)-2) for every subgraph $$G'$$ G′ of G with order at least 3. In this paper, it is proved that any graph in $${\mathcal {G}}_4$$ G4 with maximum degree $$\Delta \ge 17$$ Δ≥17 is equitably m-colorable for every $$m\ge \Delta $$ m≥Δ . As corollaries, we confirm Chen–Lih–Wu Conjecture for 1-planar graphs, 3-degenerate graphs and graphs with maximum average degree less than 6, provided that $$\Delta \ge 17$$ Δ≥17 .
graphs              0.9999989877281344^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

graphs                        0.9999989877281344^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

Delta                         0.9821301629244059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Delta_(letter)        

Delta                         0.9821301629244059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Delta_(letter)        

Gk                            0.9999982391668296^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Greek_language        

Delta                         0.9821301629244059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Delta_(letter)        

Delta                         0.9821301629244059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Delta_(letter)        

complete bipartite            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Complete_bipartite_graph

graphs                        0.9999989877281344^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

Lih                           0.9999999894865823^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lithium_hydride       

corollaries                   0.9999999362935361^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Corollary             

complete graph                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Complete_graph        

Wu                            0.517360723518428^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Eastern_Wu            

subgraph                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Glossary_of_graph_theory

maximum degree                0.9583997516029775^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Glossary_of_graph_theory

Delta                         0.9821301629244059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Delta_(letter)        

k-coloring                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Graph_coloring        

graph                         0.9999993403633782^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

Delta                         0.9821301629244059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Delta_(letter)        

G4                            0.9915765316545988^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/G4_(TV_channel)       

maximum degree                0.9583997516029775^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Glossary_of_graph_theory

Delta                         0.9821301629244059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Delta_(letter)        

odd cycle                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cycle_graph           

1-planar graphs               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/1-planar_graph        

Delta                         0.9821301629244059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Delta_(letter)        

graph                         0.9999993403633782^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

vertex                        0.9998719823948442^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

graph                         0.9999993403633782^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graph_(mathematics)   

connected graph               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Connectivity_(graph_theory)

