Abstract.  Four spectrophotometric methods are described and applied to resolve binary mixtures of the corticosteroid hydrocortisone and the antibacterial polypeptide Zn-Bacitracin. The simultaneous determination of the two compounds was accomplished by means of derivative methods, which were satisfactory used to determine synthetic mixtures of these compounds in different ratios and in pharmaceutical preparations (only for hydrocortisone). Direct absorption spectra of compounds were used to optimise the spectral data set performs the calibration by PLS-1, PLS-2 and PCR algorithms. These calibration models were evaluated through internal validation (prediction of compounds in its own designed training set of calibration), cross-validation (obtaining statistical parameters that show the efficiency for a calibration fit model) and external validation over synthetic and pharmaceutical mixtures. The four described procedures do not require any separation step. Precision studies were achieved over two series of ten standards for each compound showing no significant differences at 95% confidence level in the two spectrophotometric methods. The results found in commercial products were compared with those obtained by means of MEKC method and similar values were found.
training set        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Training_set          

spectrophotometric            0.999488270219095^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Spectrophotometry     

antibacterial                 0.999991304676943^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Antibacterial         

hydrocortisone                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cortisol              

binary                        0.9954482108204243^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Binary_number         

synthetic                     0.997481189931155^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Chemical_synthesis    

calibration                   0.9999999980148004^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calibration           

spectrophotometric            0.999488270219095^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Spectrophotometry     

calibration                   0.9999999980148004^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calibration           

cross-validation              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cross-validation_(statistics)

compound                      0.9999999999988631^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_compound     

PLS                           0.993223203502415^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/IPS_panel             

confidence level              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Confidence_interval   

calibration                   0.9999999980148004^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calibration           

calibration                   0.9999999980148004^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calibration           

corticosteroid                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Corticosteroid        

polypeptide                   0.999999153286598^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Peptide               

pharmaceutical                0.999999223444394^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Pharmaceutical_drug   

spectral                      0.9438627334062102^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spectroscopy          

synthetic                     0.997481189931155^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Chemical_synthesis    

statistical parameters        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Statistical_parameter 

data set                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Data_set              

PLS                           0.993223203502415^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/IPS_panel             

algorithms                    0.9999999999532747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Algorithm             

hydrocortisone                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cortisol              

PCR                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Polymerase_chain_reaction

derivative                    0.9999668685280559^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Derivative            

absorption spectra            0.7485462064348068^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Absorption_spectroscopy

pharmaceutical                0.999999223444394^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Pharmaceutical_drug   

