Abstract. The production of K , K- and $ \phi$ (1020) mesons is studied in Al Al collisions at a beam energy of 1.9A GeV which is close to or below the production threshold in NN reactions. Inverse slopes, anisotropy parameters, and total emission yields of K± mesons are obtained. A comparison of the ratio of kinetic energy distributions of K- and K  mesons to the HSD transport model calculations suggests that the inclusion of the in-medium modifications of kaon properties is necessary to reproduce the ratio. The inverse slope and total yield of $ \phi$ mesons are deduced. The contribution to K- production from $ \phi$ meson decays is found to be $ [17 \pm 3(stat)^{ 2}_{-7}(syst)]$�The results are in line with the previous K± and $ \phi$ data obtained for different colliding systems at similar incident beam energies.
mesons              0.9999999999985221^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meson                 

kaon                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaon                  

inverse                       0.7407057551912145^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Multiplicative_inverse

kinetic energy                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kinetic_energy        

beam                          0.9997432503425399^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particle_beam         

mesons                        0.9999999999985221^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meson                 

mesons                        0.9999999999985221^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meson                 

phi                           0.9987944814329844^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phi_meson             

beam                          0.9997432503425399^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particle_beam         

mesons                        0.9999999999985221^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meson                 

energy                        0.9997407152314497^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

phi                           0.9987944814329844^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phi_meson             

NN                            0.664877638732991^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Amsterdam_Ordnance_Datum

phi                           0.9987944814329844^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phi_meson             

GeV                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electronvolt          

phi                           0.9987944814329844^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phi_meson             

transport                     0.6909130892389759^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sediment_transport    

meson                         0.9999945532983333^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meson                 

anisotropy                    0.9999901328360694^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anisotropy            

