Abstract BackgroundAvascularity of the bleb is regarded as a risk of bleb infection, which is the most serious complication after filtration surgery with mitomycin C (MMC). There is no perfect way to prevent avascular bleb formation. We hypothesized that keeping the conjunctiva away from direct exposure to aqueous filtration may suppress avascular bleb formation after filtration surgery with MMC. In order to prove our hypothesis, we investigated whether a thin biodegradable, honeycomb-patterned film (HPF) can reduce bleb avascularity in a rabbit model of filtration surgery with mitomycin C (MMC). MethodsA fornix-based full-thickness filtration surgery was performed in one eye of each of five rabbits (control group). The same surgery with intraoperative MMC treatment was done in both eyes of six rabbits, with one eye receiving a 14-μm-thick HPF made from poly(L-lactide-co-ε-caprolactone), which was placed subconjunctivally over the filtration site with the honeycomb surface facing up. Intraocular pressure (IOP) measurements, bleb evaluations using ultrasound biomicroscopy (UBM), and in vivo confocal microscopy (IVCM) were performed periodically for 4 weeks postoperatively followed by histological examination. ResultsThe postoperative IOP decrease and bleb survival were significantly greater in MMC-treated eyes than in control eyes, and were similar between MMC-only and MMC   HPF eyes. The avascular area in the bleb persisted for 4 weeks in MMC-only eyes. Postoperative IVCM showed morphological changes of the conjunctival epithelial cells (i.e., enlarged and variable in size and shape) and epithelial defects in MMC-only eyes, and significantly lower density of connective tissue and vascularity in the subepithelial space in MMC-only eyes compared to the control eyes. These IVCM findings agreed with those by UBM and histology. Bleb avascularity shown by clinical bleb appearance, IVCM and histology, conjunctival epithelial damage shown by IVCM and histology, and loose subepithelial connective tissue shown by UBM, IVCM, and histology were all reduced in MMC   HPF eyes compared to MMC-only eyes. ConclusionsIVCM successfully showed the characteristic conjunctival damage in MMC-treated blebs. The concomitant use of a thin biodegradable HPF reduced avascularity and conjunctival damage in blebs, without compromising filtration in rabbits following filtration surgery with MMC.
filtration          0.9834615374068574^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Filtration            

mitomycin C                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mitomycin             

bleb                          0.9995273002081957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bleb_(medicine)       

avascular                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Blood_vessel          

bleb                          0.9995273002081957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bleb_(medicine)       

epithelial                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Epithelium            

bleb                          0.9995273002081957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bleb_(medicine)       

histology                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Histology             

bleb                          0.9995273002081957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bleb_(medicine)       

filtration                    0.9834615374068574^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Filtration            

histological examination      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Histology             

HPF                           0.9999999573306022^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/High-pass_filter      

honeycomb                     0.9993822398370841^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Honeycomb             

confocal microscopy           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Confocal_microscopy   

HPF                           0.9999999573306022^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/High-pass_filter      

bleb                          0.9995273002081957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bleb_(medicine)       

IOP                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Intraocular_pressure  

bleb                          0.9995273002081957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bleb_(medicine)       

surgery                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Surgery               

avascular                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Blood_vessel          

HPF                           0.9999999573306022^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/High-pass_filter      

UBM                           0.9999999994704467^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/UBM_plc               

surgery                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Surgery               

mitomycin C                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mitomycin             

connective tissue             0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Connective_tissue     

surgery                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Surgery               

histology                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Histology             

morphological                 0.9999978247572938^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Histopathology        

epithelial                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Epithelium            

filtration                    0.9834615374068574^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Filtration            

UBM                           0.9999999994704467^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/UBM_plc               

rabbits                       0.9999999988779109^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

infection                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Infection             

MMC                           0.9882388963047021^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/MultiMediaCard        

UBM                           0.9999999994704467^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/UBM_plc               

blebs                         0.9998108664411318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bleb_(medicine)       

control group                 0.995602187292485^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Scientific_control    

surgery                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Surgery               

epithelial cells              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Epithelium            

MMC                           0.9882388963047021^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/MultiMediaCard        

connective tissue             0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Connective_tissue     

density                       0.9999969869681907^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density               

surgery                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Surgery               

filtration                    0.9834615374068574^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Filtration            

Intraocular pressure (IOP)    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Intraocular_pressure  

conjunctiva                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Conjunctiva           

blebs                         0.9998108664411318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bleb_(medicine)       

conjunctival                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Conjunctiva           

MMC                           0.9882388963047021^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/MultiMediaCard        

conjunctival                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Conjunctiva           

eye                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Human_eye             

vascularity                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Blood_vessel          

filtration                    0.9834615374068574^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Filtration            

filtration                    0.9834615374068574^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Filtration            

biodegradable                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Biodegradation        

MMC                           0.9882388963047021^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/MultiMediaCard        

bleb                          0.9995273002081957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bleb_(medicine)       

HPF                           0.9999999573306022^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/High-pass_filter      

bleb                          0.9995273002081957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bleb_(medicine)       

rabbit                        0.9999997669686126^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

filtration                    0.9834615374068574^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Filtration            

MMC                           0.9882388963047021^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/MultiMediaCard        

rabbits                       0.9999999988779109^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

surgery                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Surgery               

hypothesis                    0.9999999999806732^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hypothesis            

avascular                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Blood_vessel          

ultrasound                    0.9978926778928069^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ultrasound            

MMC                           0.9882388963047021^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/MultiMediaCard        

biodegradable                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Biodegradation        

bleb                          0.9995273002081957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bleb_(medicine)       

eye                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Human_eye             

MMC                           0.9882388963047021^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/MultiMediaCard        

filtration                    0.9834615374068574^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Filtration            

film                          0.9999942713839495^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Photographic_film     

rabbits                       0.9999999988779109^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

aqueous                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aqueous_humour        

HPF                           0.9999999573306022^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/High-pass_filter      

conjunctival                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Conjunctiva           

histology                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Histology             

histology                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Histology             

conjunctival                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Conjunctiva           

