Abstract  Irreversible stretching (creep) of the eye sclera, considered as a cause of the high myopia, has been studied experimentally. Both dramatic acceleration and significant deceleration of the sclera creep have been observed in the presence of some enzymes. Creep of various connective tissues caused by static and cyclic mechanical stresses (gravity, blood pressure, etc.) can manifest in many age and pathological changes in human body. Authors express the hope that investigations in this area and finding appropriate inhibitors may replace surgery (eye, cosmetic) by prophylactic therapy.
blood pressure      0.9996571332064458^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Blood_pressure        

creep                         0.9999994066489022^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Creep_(deformation)   

gravity                       0.9999998043033052^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gravitation           

sclera                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sclera                

myopia                        0.9999999999944293^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Myopia                

human body                    0.9999983497950753^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_body            

connective tissues            0.7539165151807617^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Collagen              

eye                           0.9999999931270054^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_eye             

eye                           0.9999999931270054^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_eye             

Creep                         0.9999999625163134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Creep_(deformation)   

enzymes                       0.9999923258727121^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Enzyme                

deceleration                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acceleration          

mechanical stresses           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Stress_(mechanics)    

surgery                       0.9999999809074327^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Surgery               

sclera                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sclera                

acceleration                  0.9999999792515271^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acceleration          

inhibitors                    0.9999996976130094^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Enzyme_inhibitor      

creep                         0.9999994066489022^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Creep_(deformation)   

prophylactic                  0.9998999437718652^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Preventive_medicine   

pathological                  0.9831758676942313^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Disease               

cyclic                        0.9826897782910146^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cyclic_compound       

