Abstract  · Background: Leber’s hereditary optic neuropathy (LHON) mostly affects young males. In patients carrying one of the primary mutations the risk to develop LHON is 50% for males and 10% for females. We report a family with predominantly young girls affected. · Methods: In a family with 14 known maternal relatives (11 females, 3 males) 9 patients in 4 generations developed LHON. Eight of the 9 patients were females. Three affected females could be examined and followed. · Results: The only affected male showed the typical course of LHON with acute visual loss in both eyes (20/400–20/800) within 6 weeks at 20 years of age. Eight of 9 females developed signs of LHON. In these females acute visual loss occurred at about 10 years of age. Final visual acuity was about 20/200. Central or paracentral scotomata, color vision defects and delayed P100 latencies in the VEP were seen. Ophthalmoscopy showed hyperemic discs in the acute stage and optic atrophy in later stages. Molecular genetic analysis revealed the presence of the mtDNA ND4/np11778 mutation in this family. Specific clinical or additional molecular genetic risk factors could not be detected. · Conclusion: Families with LHON may show considerable variations of the clinical course and the gender- or age-specific risk. We present a family with a high disease penetrance of 64% and a 2 times higher risk for young females than for males. Furthermore, early visual loss in this family is permanent.
VEP                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Evoked_potential      

molecular genetic             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_genetics    

family                        0.9997737433806171^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Family                

gender                        0.9999946202250714^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gender                

family                        0.9997737433806171^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Family                

genetic analysis              0.8211456957982233^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Genetic_testing       

vision defects                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Visual_impairment     

disease                       0.9476564049493666^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Disease               

scotomata                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scotoma               

visual loss                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vision_loss           

acute                         0.9999996987933627^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acute_(medicine)      

family                        0.9997737433806171^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Family                

optic neuropathy              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Optic_neuropathy      

mutation                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mutation              

family                        0.9997737433806171^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Family                

visual acuity                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Visual_acuity         

hyperemic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyperaemia            

mutations                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mutation              

Ophthalmoscopy                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ophthalmoscopy        

family                        0.9997737433806171^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Family                

acute                         0.9999996987933627^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acute_(medicine)      

Central                       0.4917116529011987^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Central_Asia          

P100                          0.9673091601150052^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Philippine_peso       

penetrance                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Penetrance            

hereditary                    0.7332393782370111^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Genetic_disorder      

mtDNA                         0.9999979659351307^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_mitochondrial_genetics

visual loss                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vision_loss           

visual loss                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vision_loss           

optic atrophy                 0.9999999999904503^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Optic_neuropathy      

acute                         0.9999996987933627^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acute_(medicine)      

Leber                         0.9999976966916316^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wilhelm_Leber         

risk factors                  0.9999958250287659^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Risk_factor           

