Summary The spatial distribution patterns of malic enzyme-NADP  (ME) inDrosophila melanogaster imaginal discs and other structures were demonstrated histochemically. Staining in the imaginal discs was limited to specific areas where intense reactions occurred primarily in differentiating structures. The eye-antennal disc possessed the most distinctive staining pattern. The ommatidial preclusters and clusters of the eye portion both stained, with heavier deposition in mature clusters. Staining in the preclusters closest to the morphogenetic furrow (MF) was obscured by a band of stained cells on either side of the MF that extends dorsoventrally across the disc. The ME low activity mutantMen NCl showed a dramatic reduction in staining of this band of cells but had no visible effect on eye morphogenesis. The larval optic nerve which traverses the entire length of the eye-antennal disc was a consistently stained feature. Two structures specifically stained in the leg discs. The most prominent was the chordotonal organ, while the second was a larval nerve extending the length of the disc. Limited staining was observed in the wing disc. No ME staining could be detected in the labial disc or haltere disc. Even though the genital discs did not stain for ME, the enzyme was induced sometime during the pupal stage since intense staining was noted in several adult internal genital disc derived structures. In general, ME staining in imaginal discs was associated with structures from the nervous system.
haltere             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Halteres              

genital                       0.9999999762118253^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sex_organ             

MF                            0.4932912964243564^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Midfielder            

morphogenetic                 0.9999999991749746^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Morphogenesis         

larval                        0.9999999997513669^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Larva                 

genital                       0.9999999762118253^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sex_organ             

NCl                           0.9707971156630255^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nested_Context_Language

morphogenesis                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Morphogenesis         

staining                      0.9999927652104593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

larval                        0.9999999997513669^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Larva                 

eye                           0.9999611142446232^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eye                   

Staining                      0.9999999991043751^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

staining                      0.9999927652104593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

staining                      0.9999927652104593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

dorsoventrally                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Anatomical_terms_of_location

ommatidial                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ommatidium            

eye                           0.9999611142446232^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Eye                   

chordotonal organ             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chordotonal_organ     

staining                      0.9999927652104593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

cells                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cell_(biology)        

enzyme                        0.9999998976981085^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Enzyme                

nervous system                0.9832298918514675^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Central_nervous_system

malic                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Malic_acid            

imaginal discs                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Imaginal_disc         

labial                        0.9999718578084461^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lip                   

imaginal discs                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Imaginal_disc         

staining                      0.9999927652104593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

wing                          0.9981932564964321^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Insect_wing           

nerve                         0.9999764100750194^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Neuron                

optic nerve                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Optic_nerve           

staining                      0.9999927652104593^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

cells                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cell_(biology)        

pupal                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pupa                  

MF                            0.4932912964243564^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Midfielder            

imaginal discs                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Imaginal_disc         

stain                         0.9609421547761328^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

Staining                      0.9999999991043751^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Staining              

deposition                    0.947560473225121^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Sediment              

