Abstract Twenty-five years after the European Union identified high levels of corruption as a top issue to be addressed in Bulgaria, the country remains the most corrupt member state. This article asks why despite strong conditionality before accession in 2007 and a specially tailored cooperation and verification mechanism (CVM), the EU has been unsuccessful in effectively assisting management of corruption in Bulgaria. The article focuses on the CVM and argues that since Bulgaria’s accession in 2007, external pressure from the EU is a necessary but insufficient condition for change. The EU needs civil society organizations (CSOs) to be an empowered and trustworthy domestic partner, in order for the CVM to achieve the rule of law in Bulgaria. The main finding is that the EU has set itself up for failure even before it established the CVM, because it did not nourish an domestically active, strong and pro-EU CSOs.
civil society       0.9999999999328111^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Civil_society         

CVM                           0.9977961279438601^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Center_for_Veterinary_Medicine

CVM                           0.9977961279438601^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Center_for_Veterinary_Medicine

pressure                      0.828103717392624^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Pressure              

corruption                    0.9921426583815328^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Political_corruption  

Bulgaria                      0.9986572312986719^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bulgaria              

law                           0.9994843069645984^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Law                   

Bulgaria                      0.9986572312986719^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bulgaria              

CVM                           0.9977961279438601^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Center_for_Veterinary_Medicine

European Union                0.9998338762962597^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/European_Union        

domestic partner              0.9997117429143568^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interpersonal_relationship

EU                            0.9974013282700047^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/European_Union        

Bulgaria                      0.9986572312986719^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bulgaria              

EU                            0.9974013282700047^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/European_Union        

EU                            0.9974013282700047^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/European_Union        

Bulgaria                      0.9986572312986719^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bulgaria              

CVM                           0.9977961279438601^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Center_for_Veterinary_Medicine

EU                            0.9974013282700047^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/European_Union        

corruption                    0.9921426583815328^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Political_corruption  

conditionality                0.9999999999992042^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Conditionality        

