Abstract  · Background: Tranilast has been clinically used for various allergic diseases. Recently, it has also been found to inhibit excessive scarring in wound healing processes. In this study, we examined the effects of tranilast on the treatment for experimental proliferative vitreoretinopathy (PVR). · Methods: Cultured rabbit conjunctival fibroblasts were injected intravitreously (50 000 cells/eye) into the rabbit vitreous to induce experimental PVR. Immediately after that, tranilast (0.5–5 mg/ml, 0.1 ml/eye) was injected into the vitreous. Injection of vehicle solution was used as a negative control. PVR was clinically evaluated by masked observers using ophthalmoscopy and graded into six stages: 0 (no PVR) to 5 (severe PVR). The amount of transforming growth factor β1 (TGF-β1) in the vitreous was measured by ELISA method. Functional and morphological changes induced by 5 mg/ml tranilast were sought by electroretinography, light microscopy, and electron microscopy on day 28. · Results: The average stage of PVR in the eyes treated with tranilast (1 or 5 mg/ml) was significantly lower than that in the control group on days 14 and 28. There was no difference between the eyes treated with low-dose tranilast (0.5 mg/ml) and the control group. The amount of TGF-β1 in the vitreous of tranilast-treated eyes was significantly lower than in the control group. The morphological and functional studies did not show any deleterious effect of tranilast on the retinal function and morphology. · Conclusion: Tranilast effectively inhibits the progression of PVR without showing apparent toxicity of the eye. This agent has therapeutic value for PVR.
fibroblasts         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fibroblast            

cells                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cell_(biology)        

TGF-β1                        0.9991057922128587^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/TGF_beta_1            

retinal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Retina                

TGF-β1                        0.9991057922128587^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/TGF_beta_1            

eye                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Human_eye             

vitreous                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vitreous_humour       

rabbit                        0.9999999939664121^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

PVR                           0.999961139159262^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Digital_video_recorder

morphological                 0.9999604749194703^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Histopathology        

tranilast                     0.9999999991050572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tranilast             

function                      0.999999636467303^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Function_(mathematics)

PVR                           0.999961139159262^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Digital_video_recorder

PVR                           0.999961139159262^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Digital_video_recorder

conjunctival                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Conjunctiva           

morphological                 0.9999604749194703^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Histopathology        

eye                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Human_eye             

electroretinography           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electroretinography   

morphology                    0.9999743946552322^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Morphology_(biology)  

vitreous                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vitreous_humour       

electron microscopy           0.995583805605961^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Electron_microscope   

PVR                           0.999961139159262^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Digital_video_recorder

Tranilast                     0.9999999991050572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tranilast             

PVR                           0.999961139159262^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Digital_video_recorder

tranilast                     0.9999999991050572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tranilast             

light microscopy              0.9996054246345009^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Histology             

ophthalmoscopy                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ophthalmoscopy        

vitreous                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vitreous_humour       

PVR                           0.999961139159262^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Digital_video_recorder

vitreous                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vitreous_humour       

scarring                      0.9999837338543421^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fibrosis              

eye                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Human_eye             

β1                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Beta-1_adrenergic_receptor

transforming growth factor    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transforming_growth_factor

toxicity                      0.9999725119720538^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Toxicity              

tranilast                     0.9999999991050572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tranilast             

allergic                      0.9999999996825863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Allergy               

