Abstract Community sport foundations (CSFs), like other non-profit organizations, are increasingly employing social media such as Twitter to communicate their mission and activities to their diverse stakeholder groups. However, the way these CSFs utilize social media for communicating such practices remains unclear. Through a mixed-method approach of content analysis of tweets from 22 CSFs established by English professional football clubs and interviews with key individuals within these CSFs (n = 7), this study examines the extent to which CSFs’ core activities are being communicated through Twitter and identifies the strategies employed for doing so. Reflecting the target audiences CSFs are seeking to reach through Twitter and the challenges associated with communication about projects involving marginalized groups, tweets largely concern programs related to sports participation and education. The most frequently employed communication strategy is to inform, rather than interact or engage with stakeholders. However, CSFs with higher organizational capacity attempt to go beyond mere informing towards engaging with stakeholder groups that relate to their social agenda, highlighting the importance of trained and dedicated social media personnel in optimizing CSFs’ use of Twitter for communication.
English             0.9691175427311319^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_language      

CSFs                          0.999940734872338^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Configuration_state_function

non-profit organizations      0.8938961467731612^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nonprofit_organization

Twitter                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Twitter               

social media                  0.9999999094599202^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Social_media          

CSFs                          0.999940734872338^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Configuration_state_function

CSFs                          0.999940734872338^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Configuration_state_function

Twitter                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Twitter               

social media                  0.9999999094599202^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Social_media          

interact                      0.996666443828889^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Interaction           

CSFs                          0.999940734872338^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Configuration_state_function

CSFs                          0.999940734872338^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Configuration_state_function

CSFs                          0.999940734872338^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Configuration_state_function

Twitter                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Twitter               

football                      0.8999400448243624^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Association_football  

content analysis              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Content_analysis      

social media                  0.9999999094599202^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Social_media          

CSFs                          0.999940734872338^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Configuration_state_function

Twitter                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Twitter               

CSFs                          0.999940734872338^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Configuration_state_function

