Summary A rare variety of Fe-Al-rich xenolith, tridymite-hercynite rock, was entrained in the Cenozoic basalt from Niutoushan, southeastern China. The tridymite-hercynite rock consists of hercynite (40–50� tridymite (35–45� ilmenite (≈2� and glass (10–20� Mineral grains are smaller than 0.05 mm with a granular texture. Compared to “normal” igneous rocks, this tridymite-hercynite rock has higher FeO, Al2O3, and lower SiO2 CaO, MgO, and alkalis (Na2O   K2O). The origin of this type of xenolith is problematical. Based upon the available mineralogical and chemical data, three possible origins have been evaluated:(1)The product of an extreme tholeiitic fractionation under low oxidation conditions; but the major element geochemistry appears to negate this model.(2)The Fe-rich (Si-poor portion of silicate-immiscible liquids from an extremely fractionated residual tholeiite magma; however, the corresponding Si-rich end-member fraction is missing, and the composition of the tridymite-hercynite rock is different from that of any Si-poor melt phase of known immiscible silicate liquids.(3)The product of metamorphism, including partial to complete melting, of a sedimentary protolith. An Fe-Al-rich shale (quartz 5�kaolinite 75�hematite 20�has the approximate composition of the tridymitehercynite rock. The trace-element abundances of the xenoliths suggest that the source rock for the Fe-Al-rich sedimentary protolith was an undifferentiated volcanic rock at the active continental margin.
protolith           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Protolith             

basalt                        0.9999245426584937^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Basalt                

magma                         0.9995332185801775^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Igneous_rock          

rock                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rock_(geology)        

protolith                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Protolith             

alkalis                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Alkali                

K2O                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Potassium_oxide       

tridymite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tridymite             

kaolinite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kaolinite             

source rock                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Source_rock           

geochemistry                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Geochemistry          

rock                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rock_(geology)        

Al2O3                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aluminium_oxide       

tholeiite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tholeiitic_magma_series

glass                         0.9666845722929418^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Volcanic_glass        

shale                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Shale                 

hercynite                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hercynite             

Cenozoic                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cenozoic              

xenoliths                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Xenolith              

ilmenite                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ilmenite              

Na2O                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sodium_oxide          

