Abstract  The nature of a contradiction (conflict) between two belief functions is investigated. Alternative ways of distributing the contradiction among nonempty subsets of frame of discernment are studied. The paper employes a new approach to understanding contradictions and introduces an original notion of potential contradiction. A method of an associative combination of generalized belief functions – minC combination and its derivation – is presented as part of the new approach. A proportionalization of generalized results is suggested as well.
subsets             0.9702277451017691^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Subset                

contradiction                 0.9996612495130721^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Contradiction         

discernment                   0.7323119185145393^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Discernment           

minC                          0.8492801294924728^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/MinC                  

contradiction                 0.9996612495130721^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Contradiction         

belief functions              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dempster–Shafer_theory

nonempty                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Empty_set             

contradiction                 0.9996612495130721^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Contradiction         

associative                   0.9981595837337505^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Associative_property  

belief functions              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dempster–Shafer_theory

