Abstract Is evil a distinct moral concept? Or are evil actions just very wrong actions? Some philosophers have argued that evil is a distinct moral concept. These philosophers argue that evil is qualitatively distinct from ordinary wrongdoing. Other philosophers have suggested that evil is only quantitatively distinct from ordinary wrongdoing. On this view, evil is just very wrong. In this paper I argue that evil is qualitatively distinct from ordinary wrongdoing. The first part of the paper is critical. I argue that Luke Russell’s attempt to show that evil is only quantitatively distinct from ordinary wrongdoing fails. Russell’s argument fails because it is based on an implausible criterion for determining whether two concepts are qualitatively distinct. I offer a more plausible criterion and argue that based on this criterion evil and wrongdoing are qualitatively distinct. To help make my case, I sketch a theory of evil which makes a genuinely qualitative distinction between evil and wrongdoing. I argue that we cannot characterize evil as just very wrong on plausible conceptions of evil and wrongdoing. I focus on act-consequentialist, Kantian, and contractarian conceptions of wrongdoing.
Luke Russell        0.9999999959350134^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Luke_Russell          

philosophers                  0.5660711572919337^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Philosophy_of_science 

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

moral                         0.7389369109325535^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ethics                

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

Kantian                       0.9999963497472892^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Immanuel_Kant         

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

moral                         0.7389369109325535^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ethics                

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

philosophers                  0.5660711572919337^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Philosophy_of_science 

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

philosophers                  0.5660711572919337^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Philosophy_of_science 

qualitative                   0.9525363536279776^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Qualitative_research  

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

evil                          0.7680763644728029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Problem_of_evil       

contractarian                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Social_contract       

