Abstract MP2/6-31  G(d,p) and DFT B3LYP/6-31  G(d,p) calculations were performed of the structure, binding energies, and vibrational modes of complexes between dimethyl sulfoxide (DMSO) as a proton acceptor and monoprotic linear acids HX (X = F, Cl, CN) as well as monoprotic carboxylic acids HOOCR (R = –H, –CH3, –C6H5) in 1:1 and 1:2 stoichiometric ratios. The results show that two different structures are possible in the 1:2 ratio: in the first, the DMSO molecule interacts with both acid molecules (leading to a “Y” structure); in the second, the DMSO interacts with only one monoprotic acid. The second structure shows a lower stability per hydrogen bond. The spontaneities of the reactions to form the 1:1 and 1:2 complexes are greatly influenced by the X group of the linear acid. With the exception of HCN, all the reactions are spontaneous. In the 1:2 complexes with Y structure, we observed that the hydrogen atoms of the linear acid are coupled in symmetric and asymmetric modes, while this type of coupling is absent from the other 1:2 complexes. Graphical AbstractChemical equlibrium of the hydrogen bonded complexes acid···DMSO and (acid)2···DMSO
symmetric           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Symmetry              

acid                          0.9999955248472452^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carboxylic_acid       

Cl                            0.9778228290140315^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chloride              

C6H5                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phenyl_group          

carboxylic acids              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carboxylic_acid       

DMSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dimethyl_sulfoxide    

proton                        0.6710678757791643^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Proton                

CN                            0.9999999999982947^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cyanide               

hydrogen bonded               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

stoichiometric ratios         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Stoichiometry         

hydrogen                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

acid                          0.9999955248472452^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carboxylic_acid       

hydrogen bond                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

monoprotic                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acid                  

DFT                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Density_functional_theory

acid                          0.9999955248472452^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carboxylic_acid       

dimethyl sulfoxide            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dimethyl_sulfoxide    

B3LYP                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hybrid_functional     

CH3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methyl_group          

vibrational modes             0.9957946934414873^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecular_vibration   

DMSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dimethyl_sulfoxide    

HCN                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_cyanide      

acid                          0.9999955248472452^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carboxylic_acid       

DMSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dimethyl_sulfoxide    

monoprotic                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acid                  

acid                          0.9999955248472452^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carboxylic_acid       

monoprotic acid               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acid                  

DMSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dimethyl_sulfoxide    

MP2                           0.9996184850564983^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Møller–Plesset_perturbation_theory

molecules                     0.9999999999990905^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

DMSO                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dimethyl_sulfoxide    

