Abstract Anaplastic lymphoma kinase (ALK), a receptor tyrosine kinase, has been implicated in the pathogenesis of several cancers. The small molecule ceritinib can overcome drug-resistance mutations that are observed in crizotinib-resistant patients, although the detailed mechanism for this ability of ceritinib remains elusive. Here, molecular dynamics (MD) simulations of six systems (including the apo ALK, the wild-type ALK–ceritinib complex, as well as four complexes of ceritinib with the I1171T, L1196M, S1206Y, and G1269A mutants of ALK, respectively) together with the subsequent molecular mechanics–generalized Born/surface area binding free energy calculations were performed to answer this question. Principal component analysis and domain cross-correlation analysis of MD trajectories revealed that ceritinib binding stabilized the conformational dynamics of both the wild-type and the four mutated ALKs as compared to the apo ALK. Moreover, the mutations had subtle effects on the conformation of ALK compared to that of the wild-type ALK. Importantly, binding free energy calculations demonstrated that, compared its effect on the wild-type ALK, ceritinib showed slightly increased potency towards the I1171T, L1196M, S1206Y, and G1269A mutants. Therefore, the binding of ceritinib to the four mutants can overcome crizotinib-resistant mutations. These data provide a structural and energetic explanation of how ceritinib overcomes mutation-induced drug resistance. Graphical AbstractInteractions between ceritinib and wild-type ALK
cross-correlation   0.9999999999935199^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cross-correlation     

wild-type                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wild_type             

ALK                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Anaplastic_lymphoma_kinase

MD                            0.8640768563223509^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Physician             

mutations                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mutation              

mutations                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mutation              

receptor tyrosine kinase      0.9871257082054257^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tyrosine_kinase       

kinase                        0.9999948482783027^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Kinase                

wild-type                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wild_type             

MD                            0.8640768563223509^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Physician             

ALK                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Anaplastic_lymphoma_kinase

ALK                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Anaplastic_lymphoma_kinase

mutants                       0.9999999903046728^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mutation              

ALK                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Anaplastic_lymphoma_kinase

dynamics                      0.9999372295791978^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dynamics_(mechanics)  

pathogenesis                  0.9999999933387471^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pathogenesis          

free energy calculations      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gibbs_free_energy     

ALK                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Anaplastic_lymphoma_kinase

ALK                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Anaplastic_lymphoma_kinase

wild-type                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wild_type             

ALK                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Anaplastic_lymphoma_kinase

mutants                       0.9999999903046728^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mutation              

drug resistance               0.9999999994143991^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drug_resistance       

lymphoma                      0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lymphoma              

wild-type                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wild_type             

mutations                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mutation              

small molecule                0.9995279368548747^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Small_molecule        

free energy calculations      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gibbs_free_energy     

ALK                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Anaplastic_lymphoma_kinase

molecular dynamics            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_dynamics    

wild-type                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wild_type             

conformation                  0.9996617123709337^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Protein_structure     

Principal component analysis  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Principal_component_analysis

mutants                       0.9999999903046728^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mutation              

