Abstract 1,3-Dimethylimidazolium dimethylphosphate ([C1mim][DMP]) was observed experimentally to be able to eliminate the atmospheric azeotropic point of acetone and methanol, which is an important azeotrope generally encountered in furfural production and the Fischer-Tropsch process. Here, we employed ab initio calculation to understand the underlying mechanism of [C1mim][DMP] in eliminating the azeotropic point of acetone and methanol. Structure, energy and interaction in binary-, ternary- and quaternary-clusters composed of methanol, acetone, [C1mim]  or/and [DMP]‾ were calculated. The σ-hole, AIM and NBO analyses were performed to understand intermolecular interaction with electron density, electron occupancy, charge transfer and molecular orbital interaction. Hydrogen bond interaction plays a key role in azeotropic point elimination; due to the much stronger hydrogen bond interaction between methanol and [C1mim][DMP] than that between acetone and [C1mim][DMP], [C1mim][DMP] prefers to interact with methanol rather than acetone, and the original interaction between methanol and acetone is separated by [C1mim][DMP]. The hydrogen bond is from the orbital interaction between O lone-pair-electron orbitals of the hydrogen bond acceptor and σ * (C-H) or σ * (O–H) anti-bonding orbitals of the hydrogen bond donor, where remarkable electron or charge transfer occurs. These theoretical calculation results are in agreement with the experimental observation that [C1mim][DMP] eliminates the azeotropic point of methanol and acetone. This work shows that ab initio calculation may be employed to rationalize the design or synthesis of ionic liquids for separating azeotropes. Graphical AbstractElimination of azeotropic point of acetone and methanol by [C1mim][DMP]
hydrogen bond       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

DMP                           0.9677841108204002^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dublin_Metropolitan_Police

electron                      0.9999999994363407^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron              

methanol                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methanol              

methanol                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methanol              

methanol                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methanol              

furfural                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Furfural              

methanol                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methanol              

DMP                           0.9677841108204002^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dublin_Metropolitan_Police

ionic liquids                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ionic_liquid          

hydrogen bond                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

DMP                           0.9677841108204002^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dublin_Metropolitan_Police

acetone                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acetone               

methanol                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methanol              

acetone                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acetone               

DMP                           0.9677841108204002^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dublin_Metropolitan_Police

hydrogen bond                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

acetone                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acetone               

electron                      0.9999999994363407^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron              

ab initio                     0.8237528837181938^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ab_initio_quantum_chemistry_methods

acetone                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acetone               

electron density              0.999999999190095^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Electron_density      

binary                        0.8580242424032675^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Binary_compound       

DMP                           0.9677841108204002^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dublin_Metropolitan_Police

molecular orbital             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_orbital     

azeotropic                    0.9999789469693922^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Azeotrope             

DMP                           0.9677841108204002^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dublin_Metropolitan_Police

charge transfer               0.9999797223546723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Charge-transfer_complex

acetone                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acetone               

DMP                           0.9677841108204002^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dublin_Metropolitan_Police

energy                        0.9999999991350705^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

azeotrope                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Azeotrope             

charge transfer               0.9999797223546723^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Charge-transfer_complex

azeotropic                    0.9999789469693922^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Azeotrope             

AIM                           0.9414113089273228^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Advanced_Idea_Mechanics

acetone                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acetone               

