Abstract The melamine (M)/cyanuric acid (CA) supramolecular system is perhaps one of the most exploited in the field of self-assembly because of the high complementarity of the components. However, it is necessary to investigate further the factors involved in the assembly process. In this study, we analyzed a set of 13 M n /CA m clusters (with n , m = 1, 2, 3), taken from crystallographic data, to characterize the nature of the hydrogen bonds involved in the self-assembly of these components as well as to provide greater understanding of the phenomenon. The calculations were performed at the B3LYP/6-311  G(d,p) and ω-B97XD (single point) levels of theory, and the interactions were analyzed within the framework of the quantum theory of atoms in molecules and by means of molecular electrostatic potential maps. Our results show that the stablest structure is the rosette-type motif and the aggregation mechanism is governed by a combination of cooperative and anticooperative effects. Our topological results explain the polymorphism in the self-assembly of coadsorbed monolayers of M and CA. Graphical abstractThe aggregation steps of the melamine-cyanuric co-crystal is driven by a hydrogen-bonded network which is governed by a complex combination of cooperative and anticooperative effects
CA                  0.9957980625081061^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Certificate_authority 

molecules                     0.9999999521767233^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

hydrogen-bonded               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

self-assembly                 0.9999935511740323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecular_self-assembly

crystallographic              0.8170226854957646^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/X-ray_crystallography 

self-assembly                 0.9999935511740323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecular_self-assembly

co-crystal                    0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cocrystal             

cyanuric acid                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cyanuric_acid         

CA                            0.9957980625081061^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Certificate_authority 

melamine                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Melamine              

polymorphism                  0.9999800984952523^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Polymorphism_(materials_science)

quantum theory                0.9343326287544029^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantum_mechanics     

electrostatic potential       0.9999996680815553^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrostatics        

self-assembly                 0.9999935511740323^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecular_self-assembly

CA                            0.9957980625081061^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Certificate_authority 

complementarity               0.9998153037898502^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Complementarity_(molecular_biology)

hydrogen bonds                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

B3LYP                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hybrid_functional     

supramolecular                0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Supramolecular_chemistry

