Summary.  The synthesis, crystal structure determination, conformational analysis, and spectroscopic properties of 3,3′-diethyl-4,4′-dimethyl-2,2′-dipyrryl ketone (1) are reported. The dipyrryl ketone is a model for the dipyrrole core of 10-oxobilirubin, a presumed metabolite in alternate pathways of excretion of the yellow pigment of jaundice, bilirubin. In the crystal, 1 adopts a helical conformation, with a molecule of one helicity being hydrogen-bonded to two molecules of the opposite helicity. Thus, 1 self-assembles via hydrogen bonding into supramolecular double-stranded arrays, where molecules of the same helicity comprise one strand and are paired through hydrogen bonding to molecules of opposite helicity in the second strand. In the observed molecular conformation each pyrrole ring and adjacent carbonyl group are rotated into an sc conformation (torsion angle ∼29 °), with each N-H pointing in the same direction as the C*O. Molecular mechanics/dynamics calculations predict the sc,sc conformation, absent hydrogen bonding, to be the most stable, but only by a few tenths of a kj/mol. In CHCl3, 1 is monomeric according to vapor pressure osmometry studies (). 1H NMR NH chemical shifts in CDCl3 suggest a predominantly anti orientation of the C=O and pyrrole NHs, which is opposite to the orientation observed in the crystal.
bilirubin           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bilirubin             

monomeric                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Monomer               

spectroscopic                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nuclear_magnetic_resonance_spectroscopy

Molecular mechanics           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_mechanics   

dimethyl                      0.999999722308114^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Methyl_group          

molecules                     0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

ketone                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ketone                

supramolecular                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Supramolecular_chemistry

hydrogen bonding              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

hydrogen bonding              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

vapor pressure                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Vapor_pressure        

pyrrole                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pyrrole               

helicity                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Circular_dichroism    

conformation                  0.9999925537924645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Conformational_isomerism

conformation                  0.9999925537924645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Conformational_isomerism

hydrogen bonding              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

kj                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Joule                 

metabolite                    0.9997597098221286^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Metabolite            

C=O                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbonyl              

crystal structure             0.9999999675899295^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/X-ray_crystallography 

helical                       0.9973460325869167^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Alpha_helix           

N-H                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Amine                 

molecules                     0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

conformational analysis       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Conformational_isomerism

carbonyl                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbonyl              

dynamics                      0.9999957116482255^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dynamics_(mechanics)  

helicity                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Circular_dichroism    

torsion angle                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dihedral_angle        

molecular conformation        0.9999742009376125^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Conformational_isomerism

pigment                       0.9999999864337498^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pigment               

osmometry                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Osmometer             

molecules                     0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

conformation                  0.9999925537924645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Conformational_isomerism

ketone                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ketone                

helicity                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Circular_dichroism    

NH                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ammonium              

diethyl                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ethyl_group           

helicity                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Circular_dichroism    

pyrrole                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pyrrole               

NHs                           0.9722546937007229^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/National_Health_Service

hydrogen-bonded               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

NMR                           0.9999999765047962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nuclear_magnetic_resonance_spectroscopy

jaundice                      0.9999999997178293^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Jaundice              

chemical shifts               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chemical_shift        

