Abstract Composites containing cobalt oxide (Co3O4) nanocubes integrated with multiwall carbon nanotubes (MWCNT) were synthesized by a hydrothermal route. The fractions of MWCNTs in the composite were varied from 4, 8, 12, 16 and 20 wt.�and the resulting materials are denoted as C1, C2, C3, C4 and C5, respectively. The formation of products with high structural crystallinity was confirmed by X-ray photoelectron spectroscopy, Raman spectroscopy and X-ray diffraction. A morphological study by field emission scanning electron microscopy and high resolution transmission electron microscopy showed the successful integration of Co3O4 nanocubes to the MWCNTs with an average particle size of ∼32 nm. The surface of a glassy carbon electrode (GCE) was modified with the nanocomposites in order to evaluate the electrochemical performance of the nanocomposites. Cyclic voltammetry showed that the C4-modified GCE displays best performance in terms of oxidation potential and peak current in comparison to that of a bare GCE, Co3O4 nanocubes, or GCEs modified with C1, C2, C3 or C5. The detection limit (at an S/N ratio of 3) is 0.176 nM by using chronoamperometry, and the linear range is between 1 and 20 μM. Graphical abstractMWCNT-Co3O4 nanocubes were synthesized by one pot hydrothermal route. The nanocomposite is used for electrochemical detection of dopamine. The limit of detection is found to be 176 nM by chronoamperometry at a constant potential of   0.13 V.
C2                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon                

hydrothermal                  0.9257946615160395^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydrothermal_circulation

chronoamperometry             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chronoamperometry     

nanocomposite                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanocomposite         

X-ray photoelectron spectroscopy1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/X-ray_photoelectron_spectroscopy

C3                            0.9666186058233497^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/C3_carbon_fixation    

Co3O4                         0.9992271358231901^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cobalt(II,III)_oxide  

GCE                           0.6259096806290695^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/GCE_Advanced_Level    

electrochemical               0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrochemistry      

Cyclic voltammetry            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cyclic_voltammetry    

