Abstract Once abundant in the Americas, the southern green stink bug Nezara viridula (L.) has gradually declined in numbers. Until the 1990s, it was considered the main pest of major crops such as soybean, Glycine max (L.) Merrill, particularly in southern Brazil and southern USA, as well as Argentina, Uruguay, and other countries. In the past 15  years, a dramatic population decrease was observed to the point of now being considered a secondary pest in these referred countries. In this article, we list and discuss possible reasons which explain the decline in N. viridula population in the Americas. These factors include the following: (1) the steady increase of herbicides used in no-tillage/multiple cropping systems affecting potential hosts such as weeds in crop fields and nearby natural vegetation; (2) the change in cultivation systems, mostly in the Neotropics, favoring other species more adapted to exploit crops in modern day agriculture; (3) competition among several species of stink bugs that colonize major crops; (4) the growing impact of several species of egg parasitoids, some of them laboratory reared and released in crop fields, and other natural enemies (parasitoids and predators); and (5) the impact of global climate change affecting its distribution and biology.
laboratory          0.9997813104617702^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Laboratory            

green stink bug               0.9999999999436113^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Green_stink_bug       

parasitoids                   0.999999999366878^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Parasitoid            

Americas                      0.9999998946057131^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Americas              

weeds                         0.7720064111732929^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Invasive_species      

soybean                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Soybean               

Glycine max                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Soybean               

species                       0.9998229329827425^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

Americas                      0.9999998946057131^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Americas              

southern USA                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Southern_United_States

natural enemies               0.5791754539996957^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biological_pest_control

agriculture                   0.9999789836186429^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Agriculture           

Uruguay                       0.9999905348926195^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Uruguay               

Nezara viridula               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nezara_viridula       

egg                           0.835871335003923^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Egg_(biology)         

Argentina                     0.9999977191069866^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Argentina             

vegetation                    0.9996039636242761^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vegetation            

stink bugs                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pentatomidae          

Brazil                        0.999999971685384^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Brazil                

predators                     0.9999940589795224^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biological_pest_control

herbicides                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Herbicide             

species                       0.9998229329827425^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

species                       0.9998229329827425^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

Neotropics                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Neotropic_ecozone     

biology                       0.9999996151684231^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biology               

pest                          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pest_(organism)       

global climate change         0.9990754421691683^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate_change        

parasitoids                   0.999999999366878^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Parasitoid            

pest                          0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Pest_(organism)       

