Abstract IntroductionSince the Japanese government has called for English to be taught through English (Ministry of Education, Culture, Sports, Science and Technology, 2003), there has been increasing interest in English language classrooms in upper secondary schools. The government has proposed English proficiency scores that Japanese teachers of English should attain, but has not yet specified clearly what English language use should be like in the classroom. Case descriptionThis case study describes the theoretical aspect of the development of a benchmark assessment for use in English language classrooms with Japanese teachers of English as a foreign language (EFL). The study first defines teacher language proficiency, the use of the foreign language in the classroom, with particular attention to teacher language awareness (Andrews, 2007) as a bridging mechanism between pedagogical content knowledge and the foreign language proficiency of Japanese teachers of EFL. This definition of teacher language proficiency is further elaborated in terms of the legitimate use of benchmark assessments in English language classrooms in Japan with a thorough literature review of L2 benchmark assessments in other parts of the world. Discussion and EvaluationThe present case study examines the ideal assessor conditions after thorough review on assessor bias from the language testing/assessment research, while the development of assessment benchmarks for use in Japan is discussed based on a high-stakes benchmark assessment for teachers of EFL in Hong Kong. The proposed benchmarks acknowledge the complexity of classroom English use, thus employing four different scale types to accommodate the multifaceted characteristics of teacher language proficiency. ConclusionsThe current case study concludes with the exploration of tasks remaining for the future development of our benchmark assessments for use in ongoing professional development.
bias                0.6055063677774856^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bias                  

language proficiency          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Language_proficiency  

English                       0.9351525110910804^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_language      

English language              0.9999999968864586^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_as_a_second_or_foreign_language

Japanese                      0.9995401035441803^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Japanese_language     

English language              0.9999999968864586^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_as_a_second_or_foreign_language

case study                    0.9999999999992042^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Case_study            

language proficiency          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Language_proficiency  

benchmark                     0.994308057478397^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Benchmarking          

case study                    0.9999999999992042^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Case_study            

language proficiency          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Language_proficiency  

benchmark                     0.994308057478397^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Benchmarking          

language                      0.9999997666708668^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Language              

Hong Kong                     0.9999941848488703^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hong_Kong             

Japanese government           0.9997035521825507^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Government_of_Japan   

professional development      0.9999999998839257^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Professional_development

English                       0.9351525110910804^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/English_language      

foreign language              0.974239540819523^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Language_education    

