Abstract Epilithic algal communities play critical ecological roles on coral reefs, but their response to individual and interactive effects of ocean warming (OW) and ocean acidification (OA) is still largely unknown. We investigated growth, photosynthesis and calcification of early epilithic algal community assemblages exposed for 6 months to four temperature profiles (−1.1, ±0.0,  0.9,  1.6 °C) that were crossed with four carbon dioxide partial pressure (pCO2) levels (360, 440, 650, 940 µatm), under flow-through conditions and natural light regimes. Additionally, we compared the cover of heavily calcified crustose coralline algae (CCA) and lightly calcified red algae of the genus Peyssonnelia among treatments. Increase in cover of epilithic communities showed optima under moderately elevated temperatures and present pCO2, while cover strongly decreased under high temperatures and high-pCO2 conditions, particularly due to decreasing cover of CCA. Similarly, community calcification rates were strongly decreased at high pCO2 under both measured temperatures. While final cover of CCA decreased under high temperature and pCO2 (additive negative effects), cover of Peyssonnelia spp. increased at high compared to annual average and moderately elevated temperatures. Thus, cover of Peyssonnelia spp. increased in treatment combinations with less CCA, which was supported by a significant negative correlation between organism groups. The different susceptibility to stressors most likely derived from a different calcification intensity and/or mineral. Notably, growth of the epilithic communities and final cover of CCA were strongly decreased under reduced-pCO2 conditions compared to the present. Thus, CCA may have acclimatized from past to present-day pCO2 conditions, and changes in carbonate chemistry, regardless in which direction, negatively affect them. However, if epilithic organisms cannot further acclimatize to OW and OA, the interacting effects of both factors may change epilithic communities in the future, thereby likely leading to reduced reef stability and recovery.
calcified           0.999998553386286^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Calcification         

acclimatize                   0.9999999491694793^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acclimatization       

epilithic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lithophyte            

OW                            0.9980366049204565^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Obwalden              

reefs                         0.9999999905865025^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coral_reef            

temperature                   0.9999986670640981^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

ocean warming                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ocean_acidification   

chemistry                     0.9132306180485958^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biochemistry          

ocean acidification           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ocean_acidification   

CCA                           0.9999768872298175^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chromated_copper_arsenate

ecological roles              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ecological_niche      

pCO2                          0.999999870823339^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Carbon_dioxide        

photosynthesis                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photosynthesis        

CCA                           0.9999768872298175^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chromated_copper_arsenate

reef                          0.9999971410199974^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coral_reef            

OW                            0.9980366049204565^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Obwalden              

CCA                           0.9999768872298175^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chromated_copper_arsenate

organism                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Organism              

calcification                 0.9999997831562504^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calcification         

epilithic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lithophyte            

temperature                   0.9999986670640981^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

pCO2                          0.999999870823339^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Carbon_dioxide        

epilithic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lithophyte            

algal                         0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Algae                 

OA                            0.9999999999824922^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Osteoarthritis        

red algae                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Red_algae             

epilithic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lithophyte            

algal                         0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Algae                 

assemblages                   0.9996231024555602^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biocoenosis           

pCO2                          0.999999870823339^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Carbon_dioxide        

crustose                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Crustose              

genus                         0.9999999994215614^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Genus                 

epilithic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lithophyte            

calcification                 0.9999997831562504^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calcification         

