Abstract To research and estimate the effects of molar ratios on structures, stabilities, mechanical properties, and detonation properties of CL-20/HMX cocrystal explosive, the CL-20/HMX cocrystal explosive models with different molar ratios were established in Materials Studio (MS). The crystal parameters, structures, stabilities, mechanical properties, and some detonation parameters of different cocrystal explosives were obtained and compared. The molecular dynamics (MD) simulation results illustrate that the molar ratios of CL-20/HMX have a direct influence on the comprehensive performance of cocrystal explosive. The hardness and rigidity of the 1:1 cocrystal explosive was the poorest, while the plastic property and ductibility were the best, thus implying that the explosive has the best mechanical properties. Besides, it has the highest binding energy, so the stability and compatibility is the best. The cocrystal explosive has better detonation performance than HMX. In a word, the 1:1 cocrystal explosive is worth more attention and further research. This paper could offer some theoretical instructions and technological support, which could help in the design of the CL-20 cocrystal explosive.
simulation          0.7501476761920316^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Simulation            

explosive                     0.9999784362930872^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosive_material    

explosive                     0.9999784362930872^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosive_material    

molar                         0.8968870328124645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Concentration         

CL-20                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hexanitrohexaazaisowurtzitane

explosive                     0.9999784362930872^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosive_material    

HMX                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/HMX                   

molar                         0.8968870328124645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Concentration         

explosive                     0.9999784362930872^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosive_material    

HMX                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/HMX                   

explosive                     0.9999784362930872^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosive_material    

explosive                     0.9999784362930872^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosive_material    

detonation                    0.9999557204324011^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Detonation            

molecular dynamics            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_dynamics    

explosive                     0.9999784362930872^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosive_material    

CL-20                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hexanitrohexaazaisowurtzitane

explosive                     0.9999784362930872^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosive_material    

detonation                    0.9999557204324011^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Detonation            

molar                         0.8968870328124645^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Concentration         

detonation                    0.9999557204324011^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Detonation            

MD                            0.38324462687475275^^http://www.w3.org/2001/XMLSchema#double          http://dbpedia.org/resource/Maryland              

explosives                    0.9999999668783636^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosive_material    

plastic                       0.9357306492988293^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plasticity_(physics)  

binding energy                0.9999931413287744^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Binding_energy        

HMX                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/HMX                   

HMX                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/HMX                   

MS                            0.9679165013777113^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microsoft             

rigidity                      0.9999999997002078^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stiffness             

CL-20                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hexanitrohexaazaisowurtzitane

CL-20                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hexanitrohexaazaisowurtzitane

