Abstract It is unclear whether the antimicrobial activities of silver nanoparticles (AgNPs) are exclusively mediated by the release of silver ions (Ag ) or, instead, are due to combined nanoparticle and silver ion effects. Therefore, it is essential to quantify dissolved Ag in nanosilver suspensions for investigations of nanoparticle toxicity. We developed a method to measure dissolved Ag in Ag /AgNPs mixtures by combining aggregation of AgNPs with centrifugation. We also describe the reproducible synthesis of stable, uncoated AgNPs. Uncoated AgNPs were quickly aggregated by 2 mM Ca2 , forming large clusters that could be sedimented in a low-speed centrifuge. At 20,100g, the sedimentation time of AgNPs was markedly reduced to 30 min due to Ca2 -mediated aggregation, confirmed by the measurements of Ag content in supernatants with graphite furnace atomic absorption spectrometry. No AgNPs were detected in the supernatant by UV–Vis absorption spectra after centrifuging the aggregates. Our approach provides a convenient and inexpensive way to separate dissolved Ag from AgNPs, avoiding long ultracentrifugation times or Ag  adsorption to ultrafiltration membranes.
nanoparticle        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanoparticle          

ultrafiltration               0.9999999999996589^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ultrafiltration       

antimicrobial                 0.9942810400852414^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antibacterial         

sedimented                    0.9999999986571311^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sedimentation         

furnace                       0.7559912583984031^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Furnace               

stable                        0.842470322228914^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Stable_isotope        

absorption spectra            0.9096149452119986^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Spectroscopy          

centrifuging                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Centrifuge            

adsorption                    0.9999999999982947^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Adsorption            

suspensions                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Suspension_(chemistry)

graphite                      0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Graphite              

sedimentation                 0.9999993911112177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sedimentation         

supernatant                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Precipitation_(chemistry)

aggregates                    0.9959256759253627^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particle_aggregation  

ions                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

ultracentrifugation           0.8561849417340612^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Differential_centrifugation

nanoparticle                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanoparticle          

toxicity                      0.999990808911381^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Toxicity              

membranes                     0.9999999999688498^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cell_membrane         

silver                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver                

atomic absorption             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Atomic_absorption_spectroscopy

ion                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

absorption spectrometry       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Absorption_spectroscopy

mM                            0.9999999999972715^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Concentration         

silver nanoparticles          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_nanoparticles  

silver                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver                

centrifugation                0.9999999237119284^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Centrifugation        

