Abstract Density functional theory calculations have been carried out to elucidate the mechanism of cyclohexane hydroxylation by three possible isomers of [FeIV(O)(N-R-N,N′,N′-tris(2-pyridylmethyl)ethane-1,2-diamine)]2  (R is methyl or benzyl) (Klinker et al. in Angew Chem Int Ed 44:3690–3694, 2005). The calculations offer a mechanistic view and reveal the following features: (a) all the three isomers possess triplet ground states and low-lying quintet excited states, (b) the relative stability follows the order isomer A > isomer B > isomer C, in agreement with the conclusions of Klinker et al., (c) the theoretical investigations provide a rationale to explain the interconversion of the three isomers, (d) the reaction pathways of the C–H hydroxylation are initiated by a hydrogen-abstraction step, and (e) the three isomers react with cyclohexane via two-state-reactivity patterns on competing triplet and quintet spin-state surfaces. As such, in the gas phase, the relative reactivity exhibits the trend isomer B > isomer A, while at the highest level, B2//B1 with zero point energy and solvation corrections, the relative reactivity follows the order isomer B > isomer A > isomer C. Thus, the calculated reaction pathway shows that pyridine rings perpendicular to the Fe–O axis result in more reactive species, and a pyridine ring coordinated trans to the oxygen atom leads to the least reactive isomer.
perpendicular       0.9968859448541557^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Perpendicular         

isomer                        0.9999999999708962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

trans                         0.9998707631590618^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stereochemistry       

isomers                       0.9999475545566108^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

B1                            0.9999786116129568^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Thiamine              

quintet                       0.9497148444963451^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quintet               

benzyl                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Benzyl                

isomer                        0.9999999999708962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

ethane                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ethane                

hydroxylation                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydroxylation         

isomer                        0.9999999999708962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

isomer                        0.9999999999708962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

reactive                      0.9999999965941697^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_reaction     

energy                        0.9999988491021924^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

reactive                      0.9999999965941697^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_reaction     

reaction pathways             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Reaction_mechanism    

rings                         0.9484052737097347^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ring_(mathematics)    

quintet                       0.9497148444963451^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quintet               

isomers                       0.9999475545566108^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

reactivity                    0.9999999886285879^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_reaction     

mechanistic                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Reaction_mechanism    

isomer                        0.9999999999708962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

methyl                        0.9999999999929514^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Methyl_group          

Density functional theory     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Density_functional_theory

C.                            0.9999999919593847^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Celsius               

ring                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Functional_group      

isomer                        0.9999999999708962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

reactivity                    0.9999999886285879^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_reaction     

isomer                        0.9999999999708962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

diamine                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Amine                 

isomer                        0.9999999999708962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

gas phase                     0.999967194395744^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Phase_(matter)        

isomer                        0.9999999999708962^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

B2                            0.99999994870018^^http://www.w3.org/2001/XMLSchema#double             http://dbpedia.org/resource/Riboflavin            

triplet                       0.9984390970209674^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diradical             

hydroxylation                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydroxylation         

interconversion               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Reversible_reaction   

isomers                       0.9999475545566108^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

pyridine                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pyridine              

isomers                       0.9999475545566108^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isomer                

pyridine                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pyridine              

cyclohexane                   0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cyclohexane           

tris                          0.9999960615241685^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tris                  

triplet                       0.9984390970209674^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diradical             

cyclohexane                   0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cyclohexane           

oxygen                        0.9960299044352274^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nucleophile           

atom                          0.9997693540425774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Atom                  

solvation                     0.9999999997994564^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Solvent               

species                       0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_species      

