Abstract Based on second-order perturbation theory (MP2) predictions with large 6-311  G(3df, 3pd) basis set we have reviewed the possible structures and stabilities of a series of neutral MHn(M=Al, Ga; n=4, 5, 6) species. For AlH4 and AlH5, our results confirm the previous theoretical findings, which indicate the dihydrogen Cs complexes (2A′) AlH2(H2) and (1A′) AlH3(H2), respectively, as the lowest energy isomers. We found, similarly, Cs (2A′) GaH2(H2) and (1A′) GaH3(H2) van der Waals complexes as the most stable species of the gallium analogues GaH4 and GaH5. The calculated H2 dissociation energies (De) for AlH2(H2) and AlH3(H2) are of the order 1.8–2.5 kcalmol1, whereas this range of values for GaH2(H2) and GaH3(H2) is 1.4–1.8 kcalmol1 . Symmetry-adapted perturbation theory (SAPT) was used to analyze the interaction energies of these dihydrogen complexes (for n=5) to determine why the Ga species show a smaller binding energy than the Al species. The SAPT partitioning of the interaction energy showed significant differences between AlH3(H2) and GaH3(H2), resulting from the much stronger “hydride” character of the aluminum species. The experimental observation of AlH2(H2) and AlH3(H2), and likely GaH3(H2), via low-temperature matrix isolation has been reported recently by Pullumbi et al. and Andrews et al., supporting the theoretical predictions. For n=6, we found the degenerate C2(2A) and Cs(2A′) MH2(H2)2 “double H2” type van der Waals complexes as the lowest energy species for both M=Al and Ga.
dihydrogen          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

dihydrogen complexes          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dihydrogen_complex    

perturbation theory           0.9180373846412064^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Perturbation_theory   

Ga                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gallium               

MP2                           0.8914741724793972^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Møller–Plesset_perturbation_theory

species                       0.9999423559950774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_species      

Ga                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gallium               

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

van der Waals                 0.9999999999986358^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Van_der_Waals_force   

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

stable                        0.9340474834234098^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stable_isotope        

GaH3                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Digallane             

species                       0.9999423559950774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_species      

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

aluminum                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aluminium             

dissociation energies         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bond-dissociation_energy

Cs                            0.9999912749241061^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Caesium               

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

perturbation theory           0.9180373846412064^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Perturbation_theory   

species                       0.9999423559950774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_species      

species                       0.9999423559950774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_species      

energy                        0.9999988083611976^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

AlH3                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aluminium_hydride     

matrix isolation              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Matrix_isolation      

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

Cs                            0.9999912749241061^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Caesium               

C2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon                

energy                        0.9999988083611976^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Energy                

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

Ga                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gallium               

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

basis set                     0.9999999807175757^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Basis_set_(chemistry) 

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

AlH3                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aluminium_hydride     

species                       0.9999423559950774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_species      

AlH3                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aluminium_hydride     

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

AlH3                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Aluminium_hydride     

Cs                            0.9999912749241061^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Caesium               

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

gallium                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Gallium               

binding energy                0.9999984678479819^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ionization_energy     

species                       0.9999423559950774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_species      

interaction energy            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Interaction_energy    

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

GaH3                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Digallane             

van der Waals                 0.9999999999986358^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Van_der_Waals_force   

GaH3                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Digallane             

hydride                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydride               

isomers                       0.9999791224632884^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Conformational_isomerism

GaH3                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Digallane             

H2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen              

