Abstract Detection sensitivity has a key role in the realm of piezoelectric-excited millimeter-sized cantilever (PEMC) sensors. Operating principle of these sensors is based on measuring the electrical impedance of piezoelectric layer attached to the base cantilever. While most of studies in this area have focused on sensitivity improvement by minimizing the dimensions of the base cantilever, in this paper, effect of modifying the cross-section shape of the cantilever on enhancing the detection sensitivity of these sensors has been studied. To this end, a new PEMC sensor with I-shaped cross-section was proposed. Performance of this sensor in detecting the tiny masses added on the cantilever tip and also detecting the liquid level changes has been explored by theoretical modelling, finite element simulations and via experiments. The achieved results were compared with the detection sensitivities of the sensor with the same dimensions but rectangular-shaped cross section. Theoretical and simulation results were in good agreement with experimental outcomes. By changing the cross section of the base cantilever from rectangular-shaped to I-shaped, mass detection and liquid level detection sensitivities achieved via experiments, increased up to 2.04 and 3.75 times, respectively.
simulation          0.9244741421267287^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Computer_simulation   

liquid                        0.9717369940383987^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Liquid                

cantilever                    0.9999999982194367^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cantilever            

I-shaped                      0.9996937670879164^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/I-beam                

I-shaped                      0.9996937670879164^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/I-beam                

cantilever                    0.9999999982194367^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cantilever            

finite element                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Finite_element_method 

electrical impedance          0.9994117247506801^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrical_impedance  

cantilever                    0.9999999982194367^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cantilever            

sensors                       0.9999999934503876^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

cantilever                    0.9999999982194367^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cantilever            

sensors                       0.9999999934503876^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

sensor                        0.9999999748332588^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

sensor                        0.9999999748332588^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

sensitivity                   0.9999997477619081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensitivity_(electronics)

masses                        0.9999999876700941^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mass                  

cantilever                    0.9999999982194367^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cantilever            

liquid                        0.9717369940383987^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Liquid                

sensitivity                   0.9999997477619081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensitivity_(electronics)

piezoelectric                 0.9999999995280859^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Piezoelectricity      

sensor                        0.9999999748332588^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

sensors                       0.9999999934503876^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

sensitivity                   0.9999997477619081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensitivity_(electronics)

mass                          0.997540242090033^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Mass                  

cantilever                    0.9999999982194367^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cantilever            

