Abstract The structural, vibrational and electronic properties of nitrotyrosine and 8-nitroguanine have been investigated theoretically by performing the molecular mechanics (MM  force field), the semi-empirical self-consistent-field molecular-orbital (PM3), and density functional theory calculations. The geometry of the nitrotyrosine and 8-nitroguanine molecules have been optimized, the vibrational dynamics and the electronic properties calculated in their ground states in the gas phase.
force field         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Force_field_(chemistry)

MM                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_mechanics   

vibrational                   0.8802590287326688^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecular_vibration   

PM3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/PM3_(chemistry)       

electronic                    0.9944100669931705^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron              

molecules                     0.9999998532268358^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

density functional theory     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Density_functional_theory

gas phase                     0.9999327662422643^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phase_(matter)        

geometry                      0.9995382153312685^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecular_geometry    

8-                            0.9999999999773763^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/8-bit                 

molecular mechanics           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Molecular_mechanics   

electronic                    0.9944100669931705^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electron              

8-                            0.9999999999773763^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/8-bit                 

vibrational                   0.8802590287326688^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecular_vibration   

dynamics                      0.9991815883933614^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dynamics_(mechanics)  

semi-empirical                0.7406341221525439^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Computational_chemistry

