Abstract The C2 fragmentation energies of the most stable isolated-pentagon-rule (IPR) isomers of the C80 and C82 fullerenes were evaluated with second-order Møller-Plesset (MP2) theory, density-functional theory (DFT) and the semiempirical self-consistent charge density-functional tight-binding (SCC-DFTB) method. Zero-point energy, ionization energy and empirical C2 corrections were included in the calculation of fragmentation energies for comparison with experimental C2 fragmentation energies of the fullerene cations. In the case of the most probable Stone-Wales pathway of C2 fragmentation of C80, the calculated $$D_{0} {\left( {{\text{C}}_{{{\text{80}}}} ^{   } } \right)}$$ agree well with experimental data, whereas in the case of C82 fragmentation, the calculated $$D_{0} {\left( {{\text{C}}_{{{\text{82}}}} ^{   } } \right)}$$ exceed by up to 1.2 eV the experimental ones, which suggests that other IPR isomers may be present in sufficient amounts in experimental samples. Computer-intensive MP2 calculations and DFT calculations with larger basis sets do not yield much improved C2 fragmentation energies, compared to those reported earlier with B3LYP/3-21G. On the other hand, semiempirical approaches such as SCC-DFTB, which are orders of magnitude less intensive, yield satisfactory fragmentation energies for higher fullerenes and may become a method of choice for routine calculations of fullerenes and carbon nanotubes. FigureC2 fragmentation energies of C80 and C82 fullerenes have been calculated with B3LYP/6-31G* model chemistry, with semiempirical self-consistent-charge density-functional tight-binding (SCC-DFTB) method and with the more rigorous MP2 method. The influence of basis set extension and level of theory on the resulting fragmentation energies is discussed
B3LYP               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hybrid_functional     

fragmentation                 0.9939328347414103^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fragmentation_(chemistry)

tight-binding                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Tight_binding         

DFT                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Density_functional_theory

C2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon                

empirical                     0.999982436919782^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Empirical_evidence    

semiempirical                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Computational_chemistry

MP2                           0.999993518371499^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Møller–Plesset_perturbation_theory

IPR                           0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Intellectual_property 

samples                       0.6892289749038638^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sample_(statistics)   

fullerenes                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fullerene             

