Abstract The performances of quantum chemistry methods (i.e., DFT and ab initio) in calculating the structural and vibrational properties of phosphates and phosphorylated compounds have been evaluated. Diethyl-phosphate, phosphonic acid, dihydrogen phosphate anion, phosphoric acid dimer and protonated glycylphosphotyrosine dipeptide were selected for our study. Geometry and harmonic frequency deviations were investigated, pointing out the contribution of dispersion interactions on diethyl-phosphate, [Gly-pTyr H]  and the phosphoric acid dimer. The B3LYP-D functional, followed by CC2 and MP2 methods, revealed significant accuracy for frequency calculations of the majority of the phosphorylated compounds in comparison with available experimental data. These investigations provide a guide to the accurate computation of phosphorylated biological compounds.
dimer               0.9995512597695277^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dimer_(chemistry)     

phosphates                    0.9644237894306568^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phosphate             

Geometry                      0.9999999753356409^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Geometry              

quantum chemistry             0.9999999999989768^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantum_chemistry     

phosphorylated                0.9999999999979536^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phosphorylation       

CC2                           0.999335743990905^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/HMCS_CC-1             

protonated                    0.9995951214153559^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Proton                

MP2                           0.9999767315416912^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Møller–Plesset_perturbation_theory

phosphorylated                0.9999999999979536^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phosphorylation       

phosphonic acid               0.9883956268069827^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phosphonate           

frequency                     0.9999399310694347^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Frequency             

phosphoric acid               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phosphoric_acid       

dihydrogen phosphate          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phosphate             

computation                   0.999999815169889^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Computation           

dispersion                    0.9999945918111321^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dispersion_relation   

harmonic frequency            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Frequency             

phosphoric acid               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phosphoric_acid       

anion                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

dimer                         0.9995512597695277^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dimer_(chemistry)     

phosphorylated                0.9999999999979536^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Phosphorylation       

DFT                           0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Density_functional_theory

ab initio                     0.9999999999971578^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ab_initio_quantum_chemistry_methods

vibrational                   0.9999999604981448^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Infrared_spectroscopy 

dipeptide                     0.9999999999987494^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dipeptide             

