Abstract The long-term effects of different cadmium (0.2 and 0.4 ppm) and salinity levels (30, 25, and 20 ‰ S) on growth and egg-mass production ofOphryotrocha labronica (La Greca & Bacci) were investigated over three generations. Low salinity levels and the presence of cadmium resulted in reduced growth rates, prolonged times to reach sexual maturity, and reduced size at maturity. Three-way analysis of variance showed significant interaction effects of generation and cadmium for the different growth processes tested. Using response-surface methods, 0.2 ppm cadmium was shown to have a greater effect on growth rate at the third generation than the first and second generations at the three salinities tested. Increased effects were observed from first to second generation at 0.4 ppm cadmium and 30 and 25 ‰ S, whereas effects decreased from second to third generation. At 0.4 ppm cadmium and salinity of 20 ‰ the first generation was not able to produce viable larvae.
sexual maturity     0.9999130786107582^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sexual_maturity       

ppm                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Parts-per_notation    

variance                      0.996288155451764^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Variance              

cadmium                       0.999999999994202^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Cadmium               

cadmium                       0.999999999994202^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Cadmium               

salinities                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Salinity              

cadmium                       0.999999999994202^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Cadmium               

ppm                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Parts-per_notation    

ppm                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Parts-per_notation    

salinity                      0.999999040904873^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Salinity              

cadmium                       0.999999999994202^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Cadmium               

ppm                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Parts-per_notation    

salinity                      0.999999040904873^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Salinity              

cadmium                       0.999999999994202^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Cadmium               

larvae                        0.9665851902685705^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Larva                 

cadmium                       0.999999999994202^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Cadmium               

salinity                      0.999999040904873^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Salinity              

