Abstract The focus of this study is a state-by-state comparison of middle school science standards on evolution in the United States. In 2009, Louise Mead and Anton Mates reviewed the high school science standards on evolution, giving each state a grade based on multiple factors including the number of times the word “evolution” is mentioned, the types of evolution covered, and the inclusion of creationist jargon (Mead and Mates in Evol Educ Outreach 2:359, 2009). Their study was a replication of an earlier one completed in 2000 by Lawrence Lerner and the Thomas B. Fordham Foundation (Lerner in Good science, bad science: teaching evolution in the states. Thomas Fordham Foundation, Washington, 2000). Mead and Mates indicated that, on average, the quality of the standards had increased over the decade between studies. This study concludes that this positive trend is now evident in the middle school science standards across the nation. We propose that early evolutionary education will be an excellent indicator of future acceptance of evolution across the United States and strongly encourage that evolution be introduced as the underlying theme of biology early in a student’s academic career.
Washington          0.6572961820089668^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/University_of_Washington

middle school                 0.9999528397889821^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Middle_school         

evolution                     0.9999657013311178^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

science                       0.9999560345274301^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Science               

creationist                   0.9999911353168741^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Creationism           

United States                 0.9675249082849886^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/United_States         

Fordham                       0.9999989188688847^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fordham_University    

evolution                     0.9999657013311178^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

jargon                        0.9998653384341402^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Jargon                

United States                 0.9675249082849886^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/United_States         

evolution                     0.9999657013311178^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

evolution                     0.9999657013311178^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

evolution                     0.9999657013311178^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

middle school                 0.9999528397889821^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Middle_school         

Fordham                       0.9999989188689984^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fordham_University    

science                       0.9999560345274301^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Science               

evolution                     0.9999657013311178^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

high school                   0.9878134745161044^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/High_school           

science                       0.9999560345274301^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Science               

science                       0.9999560345274301^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Science               

evolution                     0.9999657013311178^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

evolutionary                  0.9981674224338422^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evolution             

science                       0.9999560345274301^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Science               

biology                       0.9999945708839998^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biology               

