Abstract This study examines the developmental trajectories of ability and trait emotional intelligence (EI) in the Portuguese secondary school. Within a three-wave longitudinal design, 395 students (M age  = 15.4; SD = .74) completed both the Emotional Skills and Competence Questionnaire (ESCQ) and the Vocabulary of Emotions Test (VET). Results revealed that EI exhibited different developmental trajectories during late adolescence according to the type of measure used, while students’ VET levels evidenced an increase during secondary school, their ESCQ levels remained stable during this period. Moreover, students’ gender, verbal indicator, and type of school (public vs. private) have no significant effect on their rate of EI change, whereas students from lower sociocultural and lower professional status backgrounds demonstrated significantly greater increases on the ESCQ and VET compared to higher status adolescents. The results are examined in the context of adolescent emotional development.
SD                  0.8409697403923131^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sicherheitsdienst     

emotional intelligence        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Emotional_intelligence

Portuguese                    0.9949775656407555^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Portuguese_language   

Emotions                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Emotion               

secondary school              0.7128095351397934^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Secondary_education   

secondary school              0.7128095351397934^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Secondary_education   

VET                           0.9998655341720981^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vocational_education  

Test                          0.9999999999786269^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Test_(assessment)     

gender                        0.992757709281322^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Gender                

adolescence                   0.9999502412199085^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Adolescence           

VET                           0.9998655341720981^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vocational_education  

longitudinal design           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Longitudinal_study    

VET                           0.9998655341720981^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vocational_education  

