Summary Theoretical and experimental analyses have been carried out for determining the injection condition below which the formation of air core does not take place in the course of flow of a time-independent power-law fluid through a swirl nozzle. Analytical solution lends one distinct value of generalized Reynolds number at the inlet to a nozzle below which the air core is not formed. Experiments reveal that there exist two limiting values of such generalized Reynolds number regarding the formation of air core in a nozzle. One value being the upper limit below which steady flow occurs without air core, the other one is the lower limit above which steady flow with fully developed air core persists. In between these two limiting values, there prevails a transition zone through which fully developed air core is set up within the nozzle. For all the nozzles, theoretical results are in fair agreement with the experimental values of upper limit of generalized Reynolds numbers with respect to steady flow without air core. Amongst all the pertinent independent geometrical parameters of a nozzle, the orifice-to-swirl chamber-diameter ratio has the remarkable influence on generalized Reynolds number describing the initiation of air core.
initiation          0.7171527008922521^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Transcription_(genetics)

nozzle                        0.7155594977697101^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nozzle                

geometrical                   0.9999977156513694^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Geometry              

air core                      0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drilling_rig          

air core                      0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drilling_rig          

air core                      0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drilling_rig          

nozzle                        0.7155594977697101^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nozzle                

nozzles                       0.999999999483066^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Nozzle                

nozzle                        0.7155594977697101^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nozzle                

air core                      0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drilling_rig          

Reynolds number               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Reynolds_number       

Reynolds number               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Reynolds_number       

Reynolds number               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Reynolds_number       

inlet                         0.7529641736644586^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inlet_manifold        

Reynolds numbers              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Reynolds_number       

air core                      0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drilling_rig          

power-law fluid               0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Power-law_fluid       

nozzle                        0.7155594977697101^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nozzle                

air core                      0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drilling_rig          

air core                      0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drilling_rig          

independent                   0.9999999934981361^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Independence_(probability_theory)

nozzle                        0.7155594977697101^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nozzle                

air core                      0.9999999999998863^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drilling_rig          

