Abstract This qualitative research study explores the ways in which dance/movement therapy (DMT) and equine facilitated psychotherapy (EFP) can be combined to produce an integrated, creative, and effective psychotherapeutic approach. Interview methodology was used to collect qualitative data from current psychotherapeutic practitioners with experience in both disciplines. Interviews were transcribed, coded, and organized into 16 themes nested within 5 categories. The results showed a natural therapeutic fit between DMT and EFP, including the innate ability of horses to co-facilitate body-centered, movement-oriented, therapeutic processes. The results also suggested that combining DMT and EFP can increase therapeutic possibilities, including levels of client and therapist embodiment and creative expression, opportunities for contact and touch, and the depth and breadth of the therapeutic relationship. Finally, the results described some of the tools and techniques currently being used in DMT–EFP sessions and highlighted factors necessary to be successful in this endeavor. This study is intended to provide a foundation for further research and writing about combining DMT and EFP.
dance               0.9999999991293862^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dance                 

DMT                           0.9999999923099949^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dimethyltryptamine    

EFP                           0.9999837129408519^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosively_formed_penetrator

psychotherapeutic             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Psychotherapy         

EFP                           0.9999837129408519^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosively_formed_penetrator

DMT                           0.9999999923099949^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dimethyltryptamine    

equine                        0.7771935300315204^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Horse                 

therapeutic relationship      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Therapeutic_relationship

DMT                           0.9999999923099949^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dimethyltryptamine    

qualitative data              0.9999999972993692^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Qualitative_research  

psychotherapy                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Psychotherapy         

EFP                           0.9999837129408519^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosively_formed_penetrator

EFP                           0.9999837129408519^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Explosively_formed_penetrator

psychotherapeutic             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Psychotherapy         

DMT                           0.9999999923099949^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dimethyltryptamine    

