Abstract The literature on optimum currency areas states that large inflation differentials can undermine monetary union. In the euro area, inflation rates diverged after the creation of the single currency, but started to converge again from mid-2002. Against this background, we assess the convergence of inflation rates and business cycles and study the relationship between them. The analysis is made using an unobserved component model estimated with the Kalman filter. In general, from 1980 to 2008 inflation rates and business cycles became more aligned in the euro area, but inflation rates converged more quickly than business cycles. The output gap is found to be a better indicator of the business cycle than unit labour cost when studying convergence. By looking at the causality between the convergence of inflation and output gap, it is found that inflation divergence has a limited destabilising economic impact.
currency            0.9999496210890322^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Currency              

optimum currency areas        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Optimum_currency_area 

Kalman filter                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Kalman_filter         

business cycle                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Business_cycle        

inflation                     0.9999999958762373^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inflation             

convergence                   0.9767112002447554^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Limit_(mathematics)   

inflation                     0.9999999958762373^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inflation             

inflation                     0.9999999958762373^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inflation             

inflation                     0.9999999958762373^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inflation             

divergence                    0.9983780639708042^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Divergence            

business cycles               0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Business_cycle        

inflation                     0.9999999958762373^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inflation             

business cycles               0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Business_cycle        

convergence                   0.9767112002447554^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Limit_(mathematics)   

output gap                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Output_gap            

business cycles               0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Business_cycle        

causality                     0.9999999194222969^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Causality             

output gap                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Output_gap            

convergence                   0.9767112002447554^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Limit_(mathematics)   

inflation                     0.9999999958762373^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inflation             

euro                          0.9999999999618012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Euro                  

euro                          0.9999999999618012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Euro                  

component model               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Component-based_software_engineering

inflation                     0.9999999958762373^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inflation             

