Abstract  An investigation was carried out to verify whether the heat stress hyperthermia response of broilers is prostaglandin-dependent. Male broiler chickens of the Hubbard-Petterson strain, aged 35–49 days, were used. Chickens were injected with indomethacin (1 mg/kg intraperitoneally ) 15 min before or 2 h after heat exposure (at 35°C for 4 h), and rectal temperature was measured before injection and up to 4 h thereafter. Birds were separated into two groups with and without access to water during heat stress. The increase in rectal temperature was lower (P<0.05) in birds with access to drinking water during heat exposure. All birds injected with indomethacin exhibited an increase in rectal temperature, irrespective of whether indomethacin was administered before or in the course of the rise in temperature. The results revealed that the increase in rectal temperature during heat exposure is not prostaglandin-dependent, and that the use of cyclooxigenase inhibitors is not recommended to attenuate heat stress hyperthermia in broiler chickens.
temperature         0.9953341619703862^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temperature           

rectal temperature            0.9929147101409277^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_body_temperature

intraperitoneally             0.9999999999544116^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Intraperitoneal_injection

heat exposure                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyperthermia          

indomethacin                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Indometacin           

rectal temperature            0.9929147101409277^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_body_temperature

indomethacin                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Indometacin           

heat exposure                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyperthermia          

49 days                       0.9999443514588165^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/49_Days               

broiler chickens              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Broiler               

attenuate                     0.9987105195996437^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Attenuation           

rectal temperature            0.9929147101409277^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_body_temperature

drinking water                0.9993123516497081^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Drinking_water        

strain                        0.9769343544580078^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deformation_(mechanics)

birds                         0.9977737789564605^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

heat stress                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyperthermia          

broiler chickens              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Broiler               

birds                         0.9977737789564605^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bird                  

indomethacin                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Indometacin           

hyperthermia                  0.999999964203085^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Hyperthermia          

hyperthermia                  0.999999964203085^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Hyperthermia          

rectal temperature            0.9929147101409277^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_body_temperature

inhibitors                    0.9996820108214122^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Enzyme_inhibitor      

broilers                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Broiler               

heat exposure                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyperthermia          

water                         0.9978350196949882^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

heat stress                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyperthermia          

heat stress                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hyperthermia          

