Abstract.  The selection of optimal management strategies for environmental contaminants requires detailed information on the risks imposed on populations. These risks are characterized by both inter-subject variability (different individuals having different levels of risk) and by uncertainty (there is uncertainty about the risk associated with the Yth percentile of the variability distribution). In addition, there is uncertainty introduced by the inability to agree fully on the appropriate decision criteria. This paper presents a methodology for incorporating uncertainty and variability into a multi-medium, multi-pathway, multi-contaminant risk assessment, and for placing this assessment into an optimization framework to identify optimal management strategies. The framework is applied to a case study of a sludge management system proposed for North Carolina and the impact of stochasticity on selection of an optimal strategy considered. Different sets of decision criteria reflecting different ways of treating stochasticity are shown to lead to different selections of optimal management strategies.
methodology         0.999978359891271^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Methodology           

uncertainty                   0.9999986851826865^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Uncertainty           

uncertainty                   0.9999986851826865^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Uncertainty           

optimization                  0.9999977493128288^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mathematical_optimization

stochasticity                 0.9999984321358183^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stochastic            

stochasticity                 0.9999984321358183^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stochastic            

environmental                 0.8435082088198126^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Natural_environment   

sludge                        0.9999999990943707^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sludge                

uncertainty                   0.9999986851826865^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Uncertainty           

case study                    0.999999998808903^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Case_study            

contaminants                  0.9755105591695056^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Contamination         

North Carolina                0.9995768640276612^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/North_Carolina        

risk assessment               0.9999960955722198^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Risk_assessment       

percentile                    0.9999999997357918^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Percentile            

uncertainty                   0.9999986851826865^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Uncertainty           

