Abstract Key message We demonstrate that tropical trees growing in wet climates can have a marked seasonality in cambium activity and stem growth associated with high temperature and day length of summer. AbstractMonitoring the rhythm of tree growth associated with the growth rings can contribute substantially to understanding forest dynamics and the management of tropical forests. In this study, we monitored the girth increment rhythm and described the wood characteristics (anatomy of growth rings, wood specific gravity) in 10 tropical tree species (103 individuals) naturally occurring in a wet and weakly seasonal region of Atlantic Forest in southern Brazil. We aimed to verify whether tree growth dynamics are associated with climate and woody anatomy in tropical trees with contrasting ecological characteristics. We installed permanent dendrometer bands and monthly assessed the girth increment for 22 months. We collected wood samples (non-destructive method), measured wood specific gravity and prepared permanent slides to characterize the growth ring markers. We found growth rings in all species (distinct in six species); deciduous species produced more distinguishable tree rings compared with semi-deciduous and evergreen tree species. Species varied in their accumulated girth growth (in average, from 1.83 to 62.64 mm), growth rates (1–15 � and annual radial increment (0.16–5.44 mm). Girth increment was positively related to temperature and day length in five out of ten tree species, indicating the possible effects of these climatic variables in triggering cambial activity in these species. The growth pattern varied among species and was marginally associated to the tree deciduousness. We concluded that even in wet and less seasonal climates, there can be an association in the cambium activity and stem growth with the hotter and longer days of summer months.
tree rings          0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dendrochronology      

deciduous                     0.9999999990868673^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deciduous             

species                       0.9418476220865106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

dendrometer                   0.9999947978336675^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dendrometry           

wood                          0.9999990716753234^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wood                  

wood                          0.9999990716753234^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wood                  

specific gravity              0.9999999895665042^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Specific_gravity      

Atlantic Forest               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Atlantic_Forest       

growth rings                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dendrochronology      

growth rings                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dendrochronology      

forest dynamics               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Forest_dynamics       

girth                         0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diameter_at_breast_height

growth ring                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dendrochronology      

cambium                       0.9999998717548888^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meristem              

tropical forests              0.9716647380157266^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tropical_and_subtropical_moist_broadleaf_forests

dynamics                      0.9368114720546961^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Population_dynamics   

species                       0.9418476220865106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

cambium                       0.9999998717548888^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Meristem              

specific gravity              0.9999999895665042^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Specific_gravity      

species                       0.9418476220865106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

species                       0.9418476220865106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

species                       0.9418476220865106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

girth                         0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diameter_at_breast_height

girth                         0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diameter_at_breast_height

anatomy                       0.9195747806144801^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_body            

species                       0.9418476220865106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

wood                          0.9999990716753234^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wood                  

semi-deciduous                0.999999958482932^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Deciduous             

Brazil                        0.9999999947133347^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Brazil                

species                       0.9418476220865106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

wood                          0.9999990716753234^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wood                  

evergreen                     0.9999557018398559^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Evergreen             

species                       0.9418476220865106^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

growth rings                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Dendrochronology      

anatomy                       0.9195747806144801^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Human_body            

