Abstract Stable carbon (C) isotopes, in particular employed in labeling experiments, are an ideal tool to broaden our understanding of C dynamics in trees and forest ecosystems. Here, we present a free-air exposure system, named isoFACE, designed for long-term stable C isotope labeling in the canopy of 25 m tall forest trees. Labeling of canopy air was achieved by continuous release of CO2 with a δ13C of −46.9‰. To this end, micro-porous tubes were suspended at c. 1 m distance vertically through the canopy, minimizing CO2 gradients from the exterior to the interior and allowing for C labeling exposure during periods of low wind speed. Target for CO2 concentration ([CO2]) increase was ambient  100 μmol mol−1. Canopy [CO2] stayed within 10�f the target during more than 57�f the time and resulted in a drop of δ13C in canopy air by 7.8‰. After 19 labeling days about 50�f C in phloem sugars and stem CO2 efflux were turned over and 20–30�n coarse root CO2 efflux and soil CO2. The isoFACE system successfully altered δ13C of canopy air for studying turn-over of C pools in forest trees and soils, highlighting their slow turn-over rates.
canopy              0.9999964077235012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Canopy_(biology)      

δ13C                          0.9998593018367249^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon-13             

carbon                        0.9999786520390187^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon                

CO2                           0.9999999999608917^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

CO2                           0.9999999999608917^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

phloem                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phloem                

canopy                        0.9999964077235012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Canopy_(biology)      

CO2                           0.9999999999608917^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

canopy                        0.9999964077235012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Canopy_(biology)      

CO2                           0.9999999999608917^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

CO2                           0.9999999999608917^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

sugars                        0.5556596609482668^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sucrose               

ecosystems                    0.9999999699383584^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ecosystem             

μmol                          0.9999999998933617^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mole_(unit)           

canopy                        0.9999964077235012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Canopy_(biology)      

CO2                           0.9999999999608917^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

ambient                       0.9672718554722245^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Room_temperature      

dynamics                      0.8630031519258718^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluid_dynamics        

CO2                           0.9999999999608917^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

isotope labeling              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Isotopic_labeling     

CO2                           0.9999999999608917^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

isotopes                      0.9998619598688756^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Isotope               

δ13C                          0.9998593018367249^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon-13             

δ13C                          0.9998593018367249^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon-13             

canopy                        0.9999964077235012^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Canopy_(biology)      

