Abstract Background, aim, and scopeA large proportion of soil nitrogen (N; >80�is present in organic form. Current research on plant N uptake in terrestrial ecosystems has focused mainly on inorganic N such as ammonium (NH4  ) and nitrate (NO3 −), while soluble organic N (SON) has received little attention. In recent years, the increasing evidence showing the direct uptake of various amino acids by plants and the predominance of the organic form in N loss by leaching in many forest ecosystems has drawn attention to critically re-examine the nature and the ecological role of soil SON in terrestrial N cycling. However, little is known about the sources and dynamics, chemical nature, and ecological functions of soil SON in forest ecosystems. This paper reviews recent advances in the areas of research on current techniques for characterizing soil SON and the size, nature, and dynamics of soil SON pools in forest ecosystems. Materials and methodsThe SON represents a significant pool of available and mobile N in forest soils. The SON can be sampled using a number of physical (e.g., suction cup, microdialysis) and chemical (e.g., extraction) methods and analyzed by the wet chemistry method (e.g., persulfate oxidation) and combustion. Chemical and physical fractionation, pyrolysis–mass spectrometry, 13C and 15N nuclear magnetic resonance spectroscopy, and 15N, 13C, and 14C isotopic techniques have been used for investigating the nature and dynamics of SON in forest ecosystems. Results and discussionThe amount of SON in soil may vary with land use type, forest species, management practices, and analytical procedures used. Statistical figures, based on 116 datasets available in the literature, have shown that concentrations of soil SON can range from 1 mg N kg−1 (dry weight basis) to up to 448 mg N kg−1, with an average of 35 mg N kg−1, representing an average of 48�f total soluble N. Soil SON consists of a mixture of structurally diverse N-containing compounds, possibly with the amide N, amino acids, and amino sugars being predominant. The biodegradability of SON largely depends upon its chemical characteristics (e.g., C-to-N ratio). ConclusionsDirect utilization of added amino acids by a large number of forest species may present a potentially important new pathway for plant N uptake. However, the evidence of direct utilization of soil native SON by forest plants is still lacking, and the extent of the contribution of SON to forest plants is far from certain. Transformation of soil organic matter into SON, rather than the conversion of SON to NH4  /NO3 −, may be the rate-limiting step, which regulates the overall N cycling in N-limited forest ecosystems. Recommendations and perspectivesFuture work may well focus on the chemical and biological nature of SON in forest soils, microbial transformation of SON, the nutritional role of the SON pools in the N-limited forest ecosystems, and the potential role of SON in global climate change (e.g., N2O emission).
dynamics            0.9470535687204475^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluid_dynamics        

terrestrial                   0.6689532070063712^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Earth                 

amino acids                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Amino_acid            

spectrometry                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mass_spectrometry     

dynamics                      0.9470535687204475^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluid_dynamics        

ecosystems                    0.999999999939746^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ecosystem             

ecosystems                    0.999999999939746^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ecosystem             

species                       0.9999999998481144^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

ecosystems                    0.999999999939746^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ecosystem             

fractionation                 0.9999999999968168^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fractionation         

NH4                           0.9999998304697472^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ammonium              

nitrogen                      0.9999999998774456^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nitrogen              

global climate change         0.9999944423568473^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Climate_change        

amide                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Amide                 

15N                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Isotopes_of_nitrogen  

N2O                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrous_oxide         

nitrate                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrate               

13C                           0.9958580741939417^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon-13             

15N                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Isotopes_of_nitrogen  

terrestrial                   0.6689532070063712^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Earth                 

amino acids                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Amino_acid            

wet chemistry                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wet_chemistry         

ecosystems                    0.999999999939746^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ecosystem             

ammonium                      0.9999999967810709^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ammonium              

microdialysis                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microdialysis         

native SON                    0.9999997376599257^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Native_Son            

persulfate                    0.9144562844580507^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Persulfate            

amino sugars                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Amino_sugar           

13C                           0.9958580741939417^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon-13             

ecosystems                    0.999999999939746^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ecosystem             

NH4                           0.9999998304697472^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ammonium              

14C                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon-14             

biodegradability              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Biodegradation        

NO3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrate               

dynamics                      0.9470535687204475^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fluid_dynamics        

nuclear magnetic resonance spectroscopy1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nuclear_magnetic_resonance_spectroscopy

ecosystems                    0.999999999939746^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ecosystem             

amino acids                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Amino_acid            

combustion                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Combustion            

soil organic matter           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Organic_matter        

species                       0.9999999998481144^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Biodiversity          

inorganic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Inorganic_compound    

NO3                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nitrate               

rate-limiting step            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rate-determining_step 

ecosystems                    0.999999999939746^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Ecosystem             

