Abstract  An innovative method for fabrication and rapid prototyping of high-aspect ratio micromechanical components in photoresist is discussed. The photoresist is an epoxy-negative-tone resist, called SU-8, which can be structured to more than 2 mm in thickness by UV exposure. Small gears of 530 μm in diameter and 200 μm in thickness have been realized in this photoplastic and their functionality has been demonstrated. In addition a process called MIMOTECTM (MIcroMOlds TEChnology) has been established for the fabrication of metallic micromolds. MIMOTECTM is based on the use of the SU-8 spun on high thicknesses and electrodeposition of nickel. Thermoplastic microcomponents have been injected and mounted in watches.
photoresist         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photoresist           

μm                            0.9999999532195727^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Micrometre            

nickel                        0.9999999999922693^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nickel                

gears                         0.9990070230643072^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Gear                  

UV                            0.9999999999365627^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ultraviolet           

micromechanical               0.9999999259922588^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Microelectromechanical_systems

watches                       0.9999929791725651^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Watch                 

rapid prototyping             0.9999996672514143^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rapid_prototyping     

photoresist                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photoresist           

electrodeposition             0.9997817717392274^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electroplating        

μm                            0.9999999532195727^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Micrometre            

SU-8                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/SU-8_photoresist      

SU-8                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/SU-8_photoresist      

