Abstract Textile artificial magnetic conductor (AMC) waveguide jacket for transmission enhancement between on-body antennas is proposed. Transmission characteristics between antennas with different orientations and placements are studied. Significant transmission enhancement is observed for all tested positions. Bending and wetness measurements are also conducted. Bending is found not to give significant effect to the antennas and AMC performance, while wetness yields severe performance distortion. However, the original performance is retrieved once the antennas and AMC dried. The proposed AMC jacket will act as a new approach for efficient wearable body-centric communications.
magnetic            0.9996201270615817^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetic_field        

jacket                        0.9859813031142824^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Jacket                

AMC                           0.9802414905134788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/American_Motors       

AMC                           0.9802414905134788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/American_Motors       

antennas                      0.9999985197715247^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antenna_(radio)       

transmission                  0.9944426611601525^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Transmission_(telecommunications)

jacket                        0.9859813031142824^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Jacket                

waveguide                     0.999835697330512^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Waveguide             

antennas                      0.9999985197715247^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antenna_(radio)       

transmission                  0.9944426611601525^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Transmission_(telecommunications)

antennas                      0.9999985197715247^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antenna_(radio)       

conductor                     0.9924972715058172^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrical_conductor  

antennas                      0.9999985197715247^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Antenna_(radio)       

AMC                           0.9802414905134788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/American_Motors       

AMC                           0.9802414905134788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/American_Motors       

distortion                    0.9999514684643143^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Distortion            

