Abstract We investigated the ectomycorrhizal (ECM) fungal colonization status of Pinus thunbergii mature trees and regenerating seedlings varying in age in coastal pine forests on the east coast of Korea. We established one 20 × 20-m plot at each of two study sites at P. thunbergii coastal forests in Samcheok. Fifty soil blocks (5 × 5 × 15 cm) were sampled at regular intervals, and ten P. thunbergii seedlings of age 0, 1–3, 3–5, and 5–10 years were sampled in each study plot. In total of 27 ECM fungal taxa, Cenococcum geophilum was dominant, followed by Russula sp., Sebacina sp., and unidentified Cortinuris sp. in mature trees. In 0-year-old seedlings, some fungal species such as Sebacina sp., C. geophilum, and unidentified Cortinarius sp. were dominant whereas only C. geophilum was dominant after 1 year, and there were no apparent succession patterns in ECM fungal compositions beyond a host age of 1 year. Most ECM fungal taxa that had colonized seedlings of each age class were also observed in roots of mature trees in each site. These taxa accounted for 86.7–100% and 96.4–98.4% of ECM abundance in seedlings and mature trees, respectively. The results indicate that the species composition of ECM fungal taxa colonizing seedlings of different age in forests is similar to that of surrounding mature trees. Our results also showed that C. geophilum is a common and dominant ECM fungus in P. thunbergii coastal forests and might play a significant role in their regeneration.
Korea               0.5552174786166489^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Korea                 

Sebacina                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sebacina              

ECM                           0.9996576863776048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Extracellular_matrix  

taxa                          0.9954777415732544^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Taxon                 

fungal                        0.9999999999859028^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fungus                

Sebacina                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sebacina              

ECM                           0.9996576863776048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Extracellular_matrix  

ECM                           0.9996576863776048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Extracellular_matrix  

species                       0.9769735286070499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

fungal                        0.9999999999859028^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fungus                

Russula                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Russula               

ECM                           0.9996576863776048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Extracellular_matrix  

fungal                        0.9999999999859028^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fungus                

ectomycorrhizal               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mycorrhiza            

Pinus thunbergii              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pinus_thunbergii      

taxa                          0.9954777415732544^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Taxon                 

ECM                           0.9996576863776048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Extracellular_matrix  

ECM                           0.9996576863776048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Extracellular_matrix  

fungal                        0.9999999999859028^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fungus                

fungus                        0.9999084695994345^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fungus                

ECM                           0.9996576863776048^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Extracellular_matrix  

fungal                        0.9999999999859028^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fungus                

species                       0.9769735286070499^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

fungal                        0.9999999999859028^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fungus                

taxa                          0.9954777415732544^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Taxon                 

Samcheok                      0.9999999999931788^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Samcheok              

taxa                          0.9954777415732544^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Taxon                 

Cortinarius                   0.9999996965161023^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cortinarius           

